date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,59894928.0,220.4476,217.55,220.69,222.71,217.54,833014,,
2024-09-19,66781315.0,228.3978,224.99,228.87,229.82,224.63,808546,,
2024-09-20,318679888.0,228.9222,229.97,228.2,233.09,227.62,971914,,
2024-09-23,54146023.0,227.0245,227.34,226.47,229.45,225.81,693312,,
2024-09-24,43556068.0,227.2501,228.645,227.37,229.35,225.73,519573,,
2024-09-25,42308715.0,225.8624,224.93,226.37,227.29,224.02,564630,,
2024-09-26,36636707.0,227.2807,227.3,227.52,228.5,225.41,433165,,
2024-09-27,34025967.0,228.1278,228.46,227.79,229.52,227.3,504108,,
2024-09-30,54793391.0,232.0056,230.04,233.0,233.0,229.65,710084,,
2024-10-01,63285048.0,225.9755,229.52,226.21,229.65,223.74,832120,,
2024-10-02,32880605.0,226.0517,225.89,226.78,227.37,223.02,504717,,
2024-10-03,34044158.0,225.0086,225.14,225.67,226.805,223.32,516347,,
2024-10-04,37345098.0,225.8887,227.9,226.8,228.0,224.13,558162,,
2024-10-07,39505354.0,223.2342,224.5,221.69,225.69,221.33,607240,,
2024-10-08,31855693.0,225.0548,224.3,225.77,225.98,223.25,495518,,
2024-10-09,33591091.0,228.3401,225.23,229.54,229.75,224.83,519279,,
2024-10-10,28183544.0,228.5592,227.78,229.04,229.5,227.17,446857,,
2024-10-11,31759188.0,228.0176,229.3,227.55,229.41,227.34,485460,,
2024-10-14,39882085.0,230.7772,228.7,231.3,231.73,228.6,580529,,
2024-10-15,64751367.0,234.795,233.61,233.85,237.49,232.37,827530,227.52399999999997,
2024-10-16,34082240.0,231.1082,231.6,231.78,232.12,229.84,551097,228.07850000000002,
2024-10-17,32993810.0,232.0786,233.43,232.15,233.85,230.52,487630,228.24249999999998,
2024-10-18,46431472.0,235.2088,236.18,235.0,236.18,234.01,562502,228.58249999999998,
2024-10-21,36254470.0,235.9588,234.45,236.48,236.85,234.45,538692,229.08300000000003,
2024-10-22,38846578.0,234.9316,233.885,235.86,236.22,232.6,489180,229.5075,
2024-10-23,52286979.0,231.1276,234.08,230.76,235.144,227.76,722059,229.727,
2024-10-24,31109503.0,230.1026,229.98,230.57,230.82,228.41,490815,229.8795,
2024-10-25,38802304.0,231.6641,229.74,231.41,233.22,229.57,551681,230.0605,
2024-10-28,36087134.0,233.5569,233.32,233.4,234.73,232.55,557146,230.08050000000003,
2024-10-29,35417247.0,233.5948,233.1,233.67,234.325,232.32,484094,230.45350000000002,
2024-10-30,47070907.0,230.8805,232.61,230.1,233.47,229.55,593652,230.61949999999996,
2024-10-31,64370086.0,226.6453,229.34,225.91,229.83,225.37,767895,230.63150000000002,
2024-11-01,65276741.0,222.8124,220.965,222.91,225.35,220.27,859117,230.43699999999998,
2024-11-04,44944468.0,221.7645,220.99,222.01,222.79,219.71,647168,230.45299999999997,
2024-11-05,28111338.0,223.1048,221.795,223.45,223.95,221.14,502059,230.337,
2024-11-06,54561121.0,223.8013,222.61,222.72,226.065,221.19,796635,229.996,
2024-11-07,42137691.0,226.791,224.625,227.48,227.875,224.57,623242,229.91800000000003,
2024-11-08,38328824.0,227.2124,227.17,226.96,228.66,226.405,541125,229.88850000000002,
2024-11-11,42005602.0,223.4599,225.0,224.23,225.7,221.5,555127,229.535,
2024-11-12,40398299.0,224.3724,224.55,224.23,225.59,223.355,462612,229.054,
2024-11-13,48566217.0,224.9226,224.01,225.12,226.65,222.76,467219,228.721,
2024-11-14,44923941.0,227.4472,225.02,228.22,228.87,225.0,492068,228.5245,
2024-11-15,47923696.0,225.0925,226.4,225.0,226.92,224.27,451319,228.0245,
2024-11-18,44686020.0,228.083,225.25,228.02,229.74,225.17,437779,227.6015,
2024-11-19,36211774.0,228.6648,226.98,228.28,230.16,226.66,365242,227.2225,
2024-11-20,35169566.0,228.08,228.06,229.0,229.93,225.89,358455,227.13449999999997,
2024-11-21,42108327.0,228.4689,228.88,228.52,230.155,225.7103,431685,227.032,
2024-11-22,38168252.0,229.6877,228.06,229.87,230.7199,228.06,380624,226.955,
2024-11-25,90152832.0,232.3502,231.46,232.87,233.245,229.74,510698,226.92849999999999,
2024-11-26,45986189.0,234.7502,233.33,235.06,235.57,233.33,450015,226.99799999999996,228.43040000000002
2024-11-27,33498439.0,234.7968,234.465,234.93,235.69,233.8101,339860,227.2395,228.7152
2024-11-29,28481377.0,236.6232,234.805,237.33,237.81,233.97,268955,227.8105,228.88440000000003
2024-12-02,48137103.0,239.4992,237.27,239.59,240.79,237.16,469685,228.64450000000002,229.1122
2024-12-03,38861017.0,241.644,239.81,242.65,242.76,238.9,419384,229.67650000000003,229.43580000000003
2024-12-04,44383935.0,242.918,242.87,243.01,244.11,241.25,406663,230.6545,229.7486
2024-12-05,40033878.0,243.0077,243.99,243.04,244.54,242.13,401262,231.6705,230.082
2024-12-06,36870619.0,243.187,242.905,242.84,244.63,242.08,366549,232.43849999999998,230.3884
2024-12-09,44649232.0,246.0624,241.83,246.75,247.24,241.75,500769,233.42799999999997,230.7676
2024-12-10,36914806.0,247.2778,246.89,247.77,248.21,245.34,423350,234.60500000000002,231.063
2024-12-11,45205814.0,248.069,247.96,246.49,250.8,246.2601,455625,235.71800000000002,231.4686
2024-12-12,32777532.0,247.7433,246.89,247.96,248.74,245.68,353012,236.85999999999999,231.89219999999997
2024-12-13,33155290.0,247.7583,247.815,248.13,249.2902,246.24,349810,237.85550000000003,232.3414
2024-12-16,51694753.0,250.4623,247.99,251.04,251.38,247.65,448224,239.15750000000003,232.8262
2024-12-17,51356360.0,252.982,250.08,253.48,253.83,249.78,487662,240.4305,233.46200000000002
2024-12-18,56774101.0,250.5314,252.16,248.05,254.28,247.74,564347,241.419,233.90759999999997
2024-12-19,60882264.0,249.8394,247.5,249.79,252.0,247.0949,532896,242.45850000000002,234.31260000000003
2024-12-20,147495267.0,253.1916,248.04,254.49,255.0,245.69,551019,243.75699999999998,234.8216
2024-12-23,40858774.0,254.7699,254.77,255.27,255.65,253.45,422563,245.027,235.37599999999998
2024-12-24,23234705.0,257.4634,255.49,258.2,258.21,255.29,245932,246.2935,235.91400000000002
2024-12-26,27262983.0,258.9315,258.19,259.02,260.1,257.63,362325,247.4915,236.41740000000001
2024-12-27,42355321.0,255.2418,257.83,255.59,258.7,253.06,474899,248.5245,236.8936
2024-12-30,35557542.0,252.2669,252.23,252.2,253.5,250.75,421634,249.26800000000003,237.2946
2024-12-31,39480718.0,250.6934,252.44,250.42,253.28,249.43,361255,249.8095,237.60299999999998
2025-01-02,55740731.0,244.3303,248.93,243.85,249.1,241.8201,685448,249.86949999999996,237.7504
2025-01-03,40244114.0,243.0805,243.36,243.36,244.18,241.89,493786,249.88700000000003,237.90040000000002
2025-01-06,45045571.0,245.1726,244.31,245.0,247.33,243.2,493920,249.98500000000004,238.1852
2025-01-07,40855960.0,242.9459,242.98,242.21,245.55,241.35,462887,249.9535,238.418
2025-01-08,37628940.0,242.2995,241.92,242.7,243.7123,240.05,406916,249.75100000000003,238.6438
2025-01-10,61710856.0,236.6061,240.01,236.85,240.16,233.0,685976,249.20499999999998,238.71280000000002
2025-01-13,49630725.0,232.7529,233.53,234.4,234.67,229.72,561231,248.6005,238.72740000000002
2025-01-14,39435294.0,233.8731,234.75,233.28,236.12,232.472,436333,247.8665,238.791
2025-01-15,39831969.0,237.58,234.635,237.87,238.96,234.43,418804,247.3535,239.0302
2025-01-16,71759052.0,230.4965,237.35,228.26,238.01,228.03,786112,246.2145,239.1372
