date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,26320083.0,149.9764,150.9,148.29,152.82,148.01,306478,,
2024-09-19,44499983.0,156.6613,153.81,156.74,159.25,152.77,449656,,
2024-09-20,40248201.0,154.9745,156.0,155.95,157.45,152.47,351443,,
2024-09-23,21728542.0,156.2196,156.445,156.75,157.19,154.97,232838,,
2024-09-24,27531200.0,157.6292,157.46,158.32,159.64,154.58,295370,,
2024-09-25,35233264.0,161.3617,158.5,162.02,162.95,158.18,369277,,
2024-09-26,38044919.0,166.7543,167.055,167.49,168.68,164.05,434827,,
2024-09-27,27876037.0,165.6216,167.48,164.35,168.7286,163.74,297735,,
2024-09-30,21920300.0,163.6701,163.1,164.08,165.08,162.18,252085,,
2024-10-01,31831860.0,160.4724,164.48,159.75,165.4,158.08,347496,,
2024-10-02,24630431.0,160.8175,159.31,159.78,163.1,158.6689,278246,,
2024-10-03,29598787.0,163.592,159.71,162.85,166.7894,159.4,324908,,
2024-10-04,44640296.0,168.5251,166.533,170.9,171.21,164.42,471616,,
2024-10-07,38379930.0,170.4073,171.08,170.97,172.41,168.21,415127,,
2024-10-08,34730152.0,172.0401,171.75,172.8,173.6,170.0,362414,,
2024-10-09,33890735.0,170.9848,174.05,171.02,174.05,169.55,366659,,
2024-10-10,75113590.0,165.9983,169.76,164.18,172.01,162.0,676642,,
2024-10-11,42136175.0,166.6025,164.185,167.89,169.35,163.0101,430673,,
2024-10-14,31757205.0,166.6214,167.77,165.27,168.9,165.15,336756,,
2024-10-15,50768024.0,158.1843,163.21,156.64,164.13,155.74,607839,162.802,
2024-10-16,30575773.0,156.5492,158.075,156.13,158.28,154.9159,324511,163.19400000000002,
2024-10-17,29491853.0,157.8378,160.0,156.25,160.44,156.2,319487,163.1695,
2024-10-18,23822985.0,156.3889,157.41,155.97,158.01,155.56,247105,163.1705,
2024-10-21,25781212.0,156.3881,155.76,157.9,158.0,154.15,274907,163.228,
2024-10-22,34997352.0,153.7379,156.6,154.09,156.74,151.91,377254,163.0165,
2024-10-23,26095933.0,152.264,153.0,152.91,153.445,150.52,298394,162.56099999999998,
2024-10-24,22877016.0,153.6835,154.74,153.44,155.19,152.35,265847,161.8585,
2024-10-25,29758489.0,157.1226,155.4,156.23,158.91,155.05,318365,161.45250000000001,
2024-10-28,36010134.0,159.2244,158.5,159.92,160.28,157.045,352125,161.24450000000002,
2024-10-29,71896038.0,162.753,161.1,166.25,167.5099,158.94,697750,161.5695,
2024-10-30,87701674.0,150.1672,153.01,148.6,153.12,148.1,968062,161.0105,
2024-10-31,44386597.0,144.7927,147.8,144.07,148.68,143.33,550029,160.07150000000001,
2024-11-01,39027430.0,142.4341,144.44,141.86,144.54,141.32,430158,158.6195,
2024-11-04,29117421.0,141.5657,141.7,140.71,143.64,139.72,330593,157.1065,
2024-11-05,27067330.0,141.762,141.94,141.66,143.08,140.8,282585,155.54950000000002,
2024-11-06,32911499.0,144.0214,144.95,145.1,145.625,141.52,376479,154.2535,
2024-11-07,30326430.0,148.7713,146.68,149.82,150.12,145.66,372355,153.53549999999998,
2024-11-08,27560342.0,148.7767,149.39,147.95,150.71,147.525,319319,152.5385,
2024-11-11,29868125.0,146.5716,147.38,147.35,148.57,144.91,344335,151.64249999999998,
2024-11-12,33560287.0,143.963,147.0,143.63,147.45,141.5501,371677,150.99200000000002,
2024-11-13,35146648.0,141.0207,142.86,139.3,144.49,139.07,402440,150.1505,
2024-11-14,31681410.0,139.5979,140.34,138.84,141.4,138.56,328265,149.28,
2024-11-15,44217530.0,135.3227,136.575,134.9,137.35,133.65,471782,148.22650000000002,
2024-11-18,38782434.0,139.3605,138.185,138.93,140.9,137.21,371770,147.278,
2024-11-19,23131352.0,138.6499,137.41,139.39,139.75,137.14,254143,146.54299999999998,
2024-11-20,28843065.0,137.1438,138.96,137.6,140.77,135.48,317229,145.7775,
2024-11-21,29311442.0,137.2461,138.87,137.49,140.2799,134.93,344816,144.98,
2024-11-22,21784728.0,138.142,137.35,138.35,139.13,137.04,248916,144.08599999999998,
2024-11-25,30923110.0,140.8707,140.49,141.13,142.35,139.05,350967,143.1465,
2024-11-26,32092378.0,138.1219,142.55,137.72,142.8,136.62,366875,141.71999999999997,153.1906
2024-11-27,30175287.0,135.0403,137.2,136.24,137.94,132.96,363766,141.102,152.9496
2024-11-29,16085714.0,137.5112,136.24,137.175,138.5876,135.78,189516,140.75725,152.5583
2024-12-02,33102438.0,141.26,137.915,142.06,142.82,137.8,369555,140.76725000000002,152.28050000000002
2024-12-03,22665348.0,142.06,142.58,141.98,143.4495,141.0801,282886,140.83075000000002,151.9851
2024-12-04,25942650.0,142.8298,142.96,143.99,144.12,141.18,291119,140.94725,151.6985
2024-12-05,29576925.0,141.887,143.68,141.36,143.95,140.38,317577,140.76024999999998,151.2853
2024-12-06,33576839.0,139.9336,141.48,138.59,142.7852,137.4,375340,140.19875000000002,150.7073
2024-12-09,57055558.0,132.259,135.71,130.87,135.77,130.0,712825,139.34475,150.0377
2024-12-10,38907198.0,128.7683,131.56,127.74,131.56,127.07,526889,138.36425,149.3109
2024-12-11,45588138.0,128.9888,128.52,130.15,131.21,126.2201,492613,137.69025,148.71890000000002
2024-12-12,34267091.0,130.4944,130.0,130.6,132.32,129.07,383301,137.25525,148.1353
2024-12-13,67544738.0,126.9142,131.3,126.91,131.3,124.77,737018,136.65875,147.41649999999998
2024-12-16,42090277.0,126.0293,126.01,126.69,127.76,123.12,498181,136.24825,146.5323
2024-12-17,43314939.0,124.8995,124.45,125.02,127.08,123.15,486854,135.55275,145.6133
2024-12-18,49724442.0,124.6107,125.43,121.41,127.75,120.43,514302,134.65375,144.5855
2024-12-19,46160667.0,120.0185,122.16,118.88,123.38,118.45,553012,133.71775,143.5427
2024-12-20,53591212.0,119.6672,118.0,119.21,121.86,117.9,451397,132.80374999999998,142.6433
2024-12-23,47777898.0,124.4619,120.71,124.6,126.3387,120.47,489983,132.11625,141.7775
2024-12-24,24829564.0,125.9086,127.51,126.29,127.51,124.66,267644,131.37425000000002,140.99790000000002
2024-12-26,25139138.0,125.8006,125.52,125.06,127.2999,125.05,265746,130.74125,140.3663
2024-12-27,32924011.0,124.5419,124.37,125.19,126.18,122.26,350551,130.18875,139.7475
2024-12-30,30501637.0,122.9991,123.562,122.44,124.1,122.35,335514,129.452,139.07129999999998
2024-12-31,30203428.0,121.3885,123.1,120.79,123.55,120.138,340483,128.3885,138.36769999999999
2025-01-02,34256182.0,121.1728,122.29,120.63,123.14,119.44,368989,127.321,137.6223
2025-01-03,36785299.0,123.9453,121.65,125.37,125.56,121.42,363394,126.39000000000001,137.0479
2025-01-06,48020190.0,129.4789,129.07,129.55,130.73,127.36,511143,125.7995,136.5807
2025-01-07,39220408.0,128.6585,130.51,127.33,131.71,126.8537,401430,125.2365,136.05849999999998
2025-01-08,46723136.0,121.9738,124.51,121.84,125.3,120.1201,518866,124.785,135.3707
2025-01-10,59415614.0,115.9033,118.18,116.04,118.71,114.4501,718055,124.2,134.4931
2025-01-13,39128897.0,116.1045,115.28,117.32,117.48,114.41,410944,123.55850000000001,133.5145
2025-01-14,37005279.0,115.9824,118.0,116.09,118.66,114.5,416157,122.83300000000001,132.86430000000001
2025-01-15,38185819.0,119.2675,117.55,119.96,120.42,117.46,356624,122.4855,132.38209999999998
2025-01-16,29414126.0,119.0968,120.24,118.44,121.09,118.25,314732,122.07300000000001,131.9137
2025-01-17,35765924.0,121.3521,120.78,121.46,122.74,120.55,322522,121.89499999999998,131.52870000000001
2025-01-21,31578832.0,122.5643,122.39,122.28,123.75,121.1201,331121,121.9385,131.1411
2025-01-22,35023842.0,123.9431,123.08,123.75,125.65,121.912,352891,122.18199999999999,130.7141
2025-01-23,24921108.0,122.8016,121.425,123.04,123.71,120.63,263828,122.3735,130.1785
2025-01-24,31570300.0,123.3828,124.55,122.84,125.25,122.23,310238,122.2855,129.6763
2025-01-27,61067888.0,115.5826,117.8,115.01,118.08,112.8,783173,121.72149999999999,129.0295
2025-01-28,40554760.0,114.2035,115.175,114.17,116.15,112.95,462759,121.17699999999999,128.4403
2025-01-29,40199052.0,117.0723,115.77,117.35,118.52,114.96,405513,120.785,128.0013
2025-01-30,29788383.0,118.6694,118.53,118.86,120.44,117.09,326024,120.606,127.6017
2025-01-31,40533565.0,117.3968,119.14,115.95,119.565,115.33,448246,120.36399999999999,127.2227
2025-02-03,34586051.0,114.1297,113.875,114.27,115.16,112.98,400036,120.04599999999998,126.72949999999999
