date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,34448130.0,186.7645,186.45,186.43,188.8,185.06,381348,,
2024-09-19,39543168.0,189.6779,190.04,189.87,190.99,188.47,422926,,
2024-09-20,100378553.0,190.8708,190.23,191.6,191.84,187.41,430701,,
2024-09-23,36993111.0,193.0995,191.64,193.88,194.45,190.57,405139,,
2024-09-24,43478926.0,193.048,194.27,193.96,195.37,190.13,404498,,
2024-09-25,26391144.0,192.7974,193.75,192.53,193.9498,192.16,320595,,
2024-09-26,36334854.0,191.3116,194.31,191.16,194.53,189.54,411701,,
2024-09-27,36002316.0,188.6334,190.68,187.97,190.9,187.34,401802,,
2024-09-30,41680400.0,186.2158,187.14,186.33,188.49,184.65,440558,,
2024-10-01,36044906.0,184.7147,184.9,185.13,186.19,183.4519,440041,,
2024-10-02,23704056.0,185.1407,184.44,184.76,186.6,184.04,314477,,
2024-10-03,30204302.0,182.1979,183.045,181.96,183.44,180.875,398492,,
2024-10-04,41079011.0,185.7307,185.75,186.51,187.6,183.6,431150,,
2024-10-07,42364201.0,181.2782,182.95,180.8,183.6,180.25,520248,,
2024-10-08,26372086.0,182.3367,181.915,182.72,183.09,180.92,314225,,
2024-10-09,26343117.0,184.5009,182.82,185.17,185.845,182.05,345913,,
2024-10-10,27785043.0,186.8877,187.13,186.65,188.134,185.83,353745,,
2024-10-11,25751557.0,188.8012,186.63,188.82,189.9284,186.3,342262,,
2024-10-14,22614407.0,188.1983,189.78,187.54,189.83,187.36,328273,,
2024-10-15,32178925.0,186.8613,187.63,187.69,188.41,184.58,433036,187.574,
2024-10-16,23456812.0,186.6747,187.05,186.89,187.78,185.61,325887,187.597,
2024-10-17,25039414.0,187.6646,188.22,187.53,188.94,186.0,327337,187.48,
2024-10-18,37417670.0,189.1225,187.15,188.99,190.74,186.28,375969,187.34949999999998,
2024-10-21,24639393.0,188.3148,188.05,189.07,189.46,186.4,329960,187.10899999999998,
2024-10-22,29650593.0,189.6999,188.35,189.7,191.5201,186.975,333875,186.89600000000002,
2024-10-23,31937089.0,185.6853,188.85,184.71,189.16,183.69,402057,186.505,
2024-10-24,21647395.0,186.1395,185.25,186.38,187.11,183.86,300448,186.26600000000002,
2024-10-25,29362060.0,188.7107,187.85,187.83,190.45,187.53,357522,186.259,
2024-10-28,27930836.0,188.9501,189.565,188.39,190.21,188.21,330722,186.362,
2024-10-29,35690158.0,190.3437,188.58,190.83,191.4599,187.815,371710,186.647,
2024-10-30,37707550.0,193.4991,194.695,192.73,195.61,192.42,478472,187.0455,
2024-10-31,75146759.0,188.8446,190.51,186.4,190.6,185.23,836777,187.26749999999998,
2024-11-01,99687847.0,198.8005,199.0,197.93,200.5,197.02,1003136,187.8385,
2024-11-04,38492062.0,196.0049,196.45,195.78,197.33,194.3101,476483,188.5875,
2024-11-05,30564784.0,198.4642,196.04,199.5,199.82,195.99,372051,189.42649999999998,
2024-11-06,72292167.0,204.3931,200.01,207.09,207.55,199.14,848126,190.52249999999998,
2024-11-07,52878383.0,210.1282,207.44,210.05,212.25,207.19,610078,191.69250000000002,
2024-11-08,36075846.0,208.65,209.72,208.18,209.9633,207.44,443816,192.6605,
2024-11-11,35456012.0,206.8887,208.5,206.84,209.65,205.59,424873,193.62550000000002,
2024-11-12,38942918.0,208.0913,208.37,208.91,209.54,206.01,476724,194.6865,
2024-11-13,46212943.0,212.8523,209.4,214.1,215.09,209.14,529093,196.047,
2024-11-14,42620309.0,212.3467,214.16,211.48,215.9,210.88,463284,197.2445,
2024-11-15,86591144.0,203.3135,206.76,202.61,207.34,199.61,968372,197.9255,
2024-11-18,36512465.0,202.4554,204.15,201.7,204.67,200.95,425696,198.557,
2024-11-19,31197867.0,203.3052,199.33,204.61,205.3,198.78,383403,199.3025,
2024-11-20,32768989.0,201.7121,202.98,202.88,203.13,199.45,406917,200.211,
2024-11-21,58800042.0,198.6947,203.49,198.38,203.49,195.75,736592,200.81099999999998,
2024-11-22,31530844.0,197.5866,198.25,197.12,199.2599,196.75,402719,201.27550000000002,
2024-11-25,40685672.0,200.8436,199.28,201.45,201.9499,199.0,427416,201.9285,
2024-11-26,41673737.0,206.274,201.9,207.86,208.0,201.79,496396,202.78,193.748
2024-11-27,28061638.0,206.0978,206.98,205.74,207.64,205.05,350396,203.4305,194.1342
2024-11-29,24892447.0,206.7766,205.83,207.89,208.2,204.59,263735,204.50500000000002,194.49460000000002
2024-12-02,39523185.0,210.9654,209.96,210.71,212.99,209.5101,461819,205.144,194.8768
2024-12-03,32214828.0,212.6394,210.31,213.44,214.02,209.65,379348,206.027,195.268
2024-12-04,48745716.0,218.1624,215.96,218.16,220.0,215.75,553276,206.95999999999998,195.752
2024-12-05,41140220.0,220.1758,218.03,220.55,222.15,217.3,463440,207.63299999999998,196.31239999999997
2024-12-06,44178069.0,225.0548,220.75,227.03,227.15,220.6,524366,208.48199999999997,197.0298
2024-12-09,46819363.0,227.706,227.21,226.09,230.08,225.67,572754,209.3775,197.7922
2024-12-10,31199864.0,226.2639,226.09,225.04,229.06,224.2002,417668,210.2875,198.5664
2024-12-11,35385785.0,229.9009,226.41,230.26,231.2,226.26,427394,211.35500000000002,199.46899999999997
2024-12-12,28204084.0,229.3395,229.83,228.97,231.09,227.63,342638,212.0985,200.3532
2024-12-13,28768080.0,227.8553,228.4,227.46,230.2,225.8608,362555,212.89749999999998,201.26319999999998
2024-12-16,37552096.0,231.5484,230.23,232.93,233.0,228.01,430659,214.41349999999997,202.1916
2024-12-17,35948131.0,230.7897,232.39,231.15,232.73,227.85,433266,215.88600000000002,203.1986
2024-12-18,43281443.0,225.2441,230.77,220.52,231.3999,220.11,529103,216.6815,203.9546
2024-12-19,39918739.0,224.0262,224.91,223.29,226.09,222.92,466361,217.702,204.71699999999998
2024-12-20,88279184.0,223.9497,219.84,224.92,226.21,218.73,456278,219.029,205.48239999999998
2024-12-23,28070007.0,225.2708,225.01,225.06,226.88,223.9,321899,220.42600000000002,206.2072
2024-12-24,15007497.0,228.3619,226.94,229.05,229.14,226.13,203039,221.80599999999998,207.0374
2024-12-26,16174500.0,227.6146,228.5,227.05,228.5,226.6706,262085,222.76549999999997,207.8246
2024-12-27,27367147.0,223.0146,225.6,223.75,226.03,220.9,381077,223.666,208.5618
2024-12-30,28321240.0,220.885,220.06,221.3,222.9972,218.43,371497,224.33649999999997,209.2372
2024-12-31,24819655.0,220.4005,222.965,219.39,223.2299,218.94,308613,224.7705,209.8452
2025-01-02,33956579.0,221.2745,222.03,220.22,225.15,218.19,449631,225.10950000000003,210.46820000000002
2025-01-03,27515606.0,223.705,222.505,224.19,225.36,221.62,346976,225.411,211.158
2025-01-06,31849831.0,227.0921,226.78,227.61,228.835,224.84,410686,225.76399999999998,212.016
2025-01-07,28084164.0,223.4033,227.9,222.11,228.381,221.46,379570,225.51800000000003,212.7306
2025-01-08,25033292.0,222.0414,223.185,222.13,223.52,220.2,325539,225.32000000000002,213.4166
2025-01-10,36811525.0,218.864,221.46,218.94,221.71,216.5,493840,225.01500000000001,214.0276
2025-01-13,27262655.0,218.1426,218.06,218.46,219.4,216.47,373519,224.425,214.5802
2025-01-14,24711650.0,218.6245,220.44,217.76,221.82,216.2,332022,223.8645,215.08079999999998
2025-01-15,31291257.0,222.669,222.83,223.35,223.57,220.75,353985,223.65899999999996,215.8198
2025-01-16,24757276.0,221.8942,224.42,220.66,224.65,220.31,313323,223.04550000000003,216.27439999999999
2025-01-17,42370123.0,225.3927,225.84,225.94,226.51,223.08,385914,222.785,216.87760000000003
2025-01-21,39951456.0,230.0901,228.9,230.71,231.78,226.94,552447,223.29450000000003,217.5018
2025-01-22,41448217.0,234.095,232.02,235.01,235.44,231.19,512233,223.88050000000004,218.0602
2025-01-23,26404364.0,234.2435,234.1,235.42,235.52,231.51,365153,224.40550000000002,218.56759999999997
2025-01-24,25890738.0,234.4587,234.5,234.85,236.4,232.93,349378,224.89499999999998,219.10100000000003
2025-01-27,49428332.0,231.8188,226.21,235.42,235.61,225.86,661486,225.21349999999998,219.67260000000002
2025-01-28,41587188.0,238.6365,234.29,238.15,241.77,233.98,542344,225.7685,220.25740000000002
2025-01-29,26091716.0,237.4141,239.015,237.07,240.39,236.15,384889,226.4345,220.7168
2025-01-30,32020728.0,235.023,237.14,234.64,237.95,232.22,428122,227.10150000000004,221.18
2025-01-31,36162377.0,238.2019,236.5,237.68,240.29,236.41,435388,228.016,221.88139999999999
2025-02-03,37285868.0,236.6088,234.06,237.42,239.25,232.9,551855,228.87599999999998,222.59579999999997
2025-02-04,29713812.0,241.1698,239.01,242.06,242.52,238.03,412003,229.76950000000002,223.34480000000002
2025-02-05,38832042.0,236.572,237.02,236.17,238.32,235.2,552144,230.19750000000005,224.0106
2025-02-06,60897095.0,235.7527,238.01,238.83,239.6599,236.01,803119,231.0335,224.81960000000004
2025-02-07,77539276.0,230.4527,232.5,229.15,234.81,228.06,943441,231.38449999999997,225.46020000000001
2025-02-10,35419926.0,232.4151,230.545,233.14,233.92,229.2,473182,232.0945,226.09399999999997
2025-02-11,23713726.0,232.1101,231.92,232.76,233.44,230.13,329473,232.80949999999999,226.592
2025-02-12,32285249.0,229.6079,230.46,228.93,231.18,228.16,400325,233.368,227.0558
2025-02-13,31346512.0,229.3312,228.85,230.37,230.42,227.52,408846,233.719,227.50539999999998
2025-02-14,27031084.0,228.6543,229.2,228.68,229.89,227.23,375369,234.11999999999998,227.8648
2025-02-18,42975133.0,225.8082,228.82,226.65,229.3,223.72,600702,234.1555,228.129
2025-02-19,28566709.0,225.3773,225.52,226.63,226.83,223.71,391423,233.95149999999998,228.29840000000002
