date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,12697695.0,50.618,50.39,50.57,51.14,50.27,97096,,
2024-09-19,16273986.0,51.4648,51.41,51.44,51.715,51.145,103656,,
2024-09-20,44096635.0,51.9314,51.45,51.97,52.33,51.415,126067,,
2024-09-23,18343362.0,52.1833,52.06,52.19,52.44,51.89,89735,,
2024-09-24,26479286.0,52.4046,52.21,52.52,52.57,52.005,101401,,
2024-09-25,22422194.0,52.6074,52.57,52.65,52.73,52.365,88889,,
2024-09-26,18374000.0,52.9215,53.0,52.85,53.29,52.76,98087,,
2024-09-27,13868340.0,53.0295,53.04,53.02,53.217,52.86,82382,,
2024-09-30,17807632.0,53.1328,53.02,53.22,53.31,52.645,93755,,
2024-10-01,16621842.0,52.6687,53.11,52.74,53.2,52.31,100937,,
2024-10-02,11071270.0,52.5884,52.395,52.62,52.835,52.1301,84066,,
2024-10-03,11029127.0,52.4214,52.19,52.43,52.66,52.16,75521,,
2024-10-04,11728606.0,52.6499,52.8,52.75,52.91,52.41,72712,,
2024-10-07,10941700.0,52.5898,52.58,52.51,52.85,52.37,72263,,
2024-10-08,12365166.0,52.6338,52.64,52.73,52.77,52.195,73968,,
2024-10-09,10586120.0,53.4181,52.65,53.56,53.675,52.54,87179,,
2024-10-10,9377463.0,53.5589,53.7,53.54,53.81,53.42,80915,,
2024-10-11,12704525.0,54.1712,53.52,54.25,54.33,53.52,96207,,
2024-10-14,11428687.0,54.2211,54.31,54.27,54.405,53.79,83087,,
2024-10-15,20066281.0,54.1616,54.42,54.08,54.61,53.92,119821,52.795500000000004,
2024-10-16,32382277.0,55.892,55.0,56.38,56.41,54.83,176959,53.086,
2024-10-17,18383351.0,56.3358,56.375,56.4,56.575,55.85,114703,53.334,
2024-10-18,17679841.0,56.6545,56.41,56.76,56.87,56.21,107674,53.5735,
2024-10-21,14083608.0,56.692,56.69,56.59,57.055,56.51,90249,53.79350000000001,
2024-10-22,14956301.0,56.5638,56.0,56.6,56.9,55.86,101516,53.9975,
2024-10-23,18722973.0,56.2672,56.16,56.28,56.59,55.99,98534,54.178999999999995,
2024-10-24,14699588.0,56.026,56.375,55.96,56.55,55.81,91481,54.334500000000006,
2024-10-25,14680466.0,55.8994,56.25,55.74,56.6253,55.6656,94234,54.4705,
2024-10-28,12912311.0,55.379,55.9,55.28,55.98,55.21,89496,54.5735,
2024-10-29,18810078.0,55.7342,55.37,55.68,56.105,55.27,93740,54.7205,
2024-10-30,13284261.0,55.615,55.57,55.59,56.04,55.37,85758,54.86899999999999,
2024-10-31,22023370.0,54.886,55.43,54.77,55.51,54.705,128032,54.986000000000004,
2024-11-01,19235612.0,55.4525,54.74,55.5,55.81,54.53,116953,55.1235,
2024-11-04,13269890.0,55.7273,55.45,55.83,55.91,55.12,107057,55.28950000000001,
2024-11-05,10183605.0,56.0681,55.9,56.16,56.27,55.5,88193,55.461,
2024-11-06,20506037.0,57.6765,57.189,57.87,58.085,56.955,149222,55.6765,
2024-11-07,17880234.0,58.0209,57.8,58.08,58.3,57.54,111115,55.903499999999994,
2024-11-08,17517686.0,57.9713,58.09,58.06,58.1999,57.655,110411,56.093999999999994,
2024-11-11,17826977.0,58.7117,59.0,58.63,59.38,58.36,126896,56.312,
2024-11-12,16609357.0,58.7084,58.76,58.71,59.035,58.43,122650,56.54350000000001,
2024-11-13,36350607.0,58.9031,58.15,59.18,59.28,57.84,212888,56.683499999999995,
2024-11-14,33747654.0,58.0044,58.99,57.92,58.99,57.52,217919,56.7595,
2024-11-15,28173705.0,57.5041,57.45,57.46,58.1,57.23,168838,56.794500000000006,
2024-11-18,23770462.0,57.4672,57.55,57.31,57.99,57.23,111846,56.830499999999994,
2024-11-19,17476186.0,56.8484,56.68,57.01,57.04,56.35,119776,56.851,
2024-11-20,15344952.0,57.2542,56.84,57.5,57.5,56.61,94763,56.912,
2024-11-21,16162444.0,57.5758,57.29,57.56,57.93,57.1,119616,56.992,
2024-11-22,14952324.0,58.4451,57.59,58.55,58.7,57.455,102334,57.13250000000001,
2024-11-25,52408187.0,58.7293,58.65,58.74,58.96,58.26,130483,57.30550000000001,
2024-11-26,14209693.0,59.3514,59.0,59.59,59.64,58.94,105699,57.501,55.352
2024-11-27,12703322.0,59.2997,59.61,59.29,59.87,58.93,89327,57.686,55.526399999999995
2024-11-29,11618360.0,59.3027,59.07,59.21,59.59,59.04,58472,57.908,55.681799999999996
2024-12-02,15977739.0,59.4442,59.25,59.43,59.7,59.14,119720,58.10450000000001,55.831
2024-12-03,11746006.0,59.4323,59.43,59.48,59.525,59.165,67397,58.287,55.976800000000004
2024-12-04,16872103.0,59.6135,59.64,59.62,59.84,59.265,91163,58.46,56.1188
2024-12-05,19121697.0,60.0243,59.79,60.02,60.23,59.7,96727,58.567499999999995,56.2662
2024-12-06,14623064.0,59.9061,60.0,59.89,60.08,59.765,83983,58.658,56.407
2024-12-09,16517459.0,59.1284,59.83,58.95,59.88,58.86,104520,58.70250000000001,56.525600000000004
2024-12-10,14480185.0,58.6332,58.5,58.72,58.86,58.13,101894,58.706999999999994,56.635600000000004
2024-12-11,26842940.0,58.6126,58.88,58.59,58.96,58.31,96071,58.701,56.7526
2024-12-12,17704609.0,59.0553,58.69,58.85,59.74,58.625,107665,58.6845,56.8772
2024-12-13,14129777.0,58.6272,58.62,58.62,58.935,58.38,88366,58.719500000000004,57.001000000000005
2024-12-16,26883236.0,58.2619,58.47,58.35,58.49,57.845,123527,58.763999999999996,57.113
2024-12-17,24912522.0,58.5933,58.38,58.52,59.07,58.17,130355,58.8245,57.2332
2024-12-18,24195146.0,57.8336,58.71,57.53,58.71,57.48,126879,58.8505,57.3292
2024-12-19,21947824.0,57.7063,57.39,57.63,58.14,57.34,120040,58.857000000000006,57.4106
2024-12-20,69544629.0,58.3863,57.568,58.52,58.78,57.27,139798,58.90500000000001,57.510200000000005
