date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,23677315.0,159.6647,159.86,159.81,160.5,158.595,390384,,
2024-09-19,26587733.0,162.5534,163.71,162.14,163.79,161.34,361428,,
2024-09-20,40896438.0,163.3363,163.5,163.59,163.73,162.06,319691,,
2024-09-23,24150852.0,162.7782,164.35,161.85,165.49,161.67,311175,,
2024-09-24,23332147.0,162.2446,163.03,162.29,163.2158,160.69,273882,,
2024-09-25,18869199.0,161.8517,161.47,161.49,162.81,161.3,280359,,
2024-09-26,20319336.0,162.9269,163.64,162.73,164.08,162.28,263392,,
2024-09-27,21101307.0,164.1979,162.81,163.95,165.7,162.6261,292054,,
2024-09-30,20481303.0,165.1576,163.32,165.85,166.15,163.26,291009,,
2024-10-01,28338123.0,166.7153,167.685,166.99,169.16,164.58,409707,,
2024-10-02,17760179.0,165.6769,166.42,165.86,167.52,164.73,284543,,
2024-10-03,15073101.0,165.6269,164.41,165.86,166.64,163.923,246872,,
2024-10-04,19093724.0,166.7164,168.06,167.06,168.23,165.48,276149,,
2024-10-07,22463140.0,164.5103,167.72,162.98,168.48,162.75,325249,,
2024-10-08,23072733.0,163.8325,163.94,164.38,164.725,162.87,235550,,
2024-10-09,31181774.0,161.6624,163.45,161.86,164.84,159.74,475082,,
2024-10-10,14144068.0,162.0478,160.87,162.08,163.07,160.395,255064,,
2024-10-11,15344251.0,163.0984,162.13,163.24,163.9,161.235,250890,,
2024-10-14,19016141.0,164.9699,163.64,164.96,166.226,163.4,251253,,
2024-10-15,20247195.0,165.7582,165.785,165.46,167.68,164.625,320945,163.7215,
2024-10-16,16406030.0,164.8869,164.53,165.16,165.8,163.74,240255,163.989,
2024-10-17,21453395.0,163.7807,165.73,162.93,166.37,162.76,326872,164.0285,
2024-10-18,19757661.0,163.6768,163.19,163.42,164.71,163.08,259571,164.02,
2024-10-21,20946455.0,163.8926,162.95,164.07,164.5,162.62,253661,164.13100000000003,
2024-10-22,16568121.0,164.8323,162.98,165.14,165.77,162.98,238533,164.2735,
2024-10-23,18280518.0,163.0988,164.76,162.78,165.82,161.925,285297,164.338,
2024-10-24,22412527.0,162.5212,162.83,162.72,163.33,161.01,303088,164.3375,
2024-10-25,19828884.0,164.9835,163.67,165.27,165.59,163.42,298665,164.4035,
2024-10-28,32138641.0,166.7405,168.75,166.72,168.75,163.95,463018,164.447,
2024-10-29,42169025.0,171.0696,167.73,169.68,170.38,167.0896,583786,164.5815,
2024-10-30,68890787.0,178.1847,180.68,174.46,182.02,174.0599,935794,165.0115,
2024-10-31,44768981.0,172.8801,173.13,171.11,176.82,171.0,605352,165.274,
2024-11-01,31796477.0,171.2424,170.07,171.29,172.32,168.88,432223,165.4855,
