date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,3482764.0,215.0501,214.13,214.94,216.86,213.59,61154,,
2024-09-19,5279559.0,213.1264,218.01,213.89,218.48,210.37,79148,,
2024-09-20,9958980.0,216.9707,214.33,217.7,217.85,213.74,62397,,
2024-09-23,4074755.0,219.7316,218.0,220.5,220.62,217.27,57983,,
2024-09-24,3184114.0,220.4618,219.78,220.97,221.19,218.16,52393,,
2024-09-25,2537751.0,221.1857,221.17,221.23,221.85,220.16,44171,,
2024-09-26,2673210.0,222.9933,222.11,223.43,224.0,221.355,50376,,
2024-09-27,3830335.0,221.8352,223.0,220.84,224.15,220.77,61634,,
2024-09-30,3544264.0,220.5923,220.65,221.08,221.32,219.02,61126,,
2024-10-01,3548374.0,219.0123,220.63,219.35,221.1,215.9,72283,,
2024-10-02,3343399.0,219.1521,218.31,219.73,220.2,215.798,49122,,
2024-10-03,3788265.0,221.6606,219.5,222.72,222.83,219.27,59754,,
2024-10-04,3554328.0,224.9677,223.75,226.0,226.08,223.27,65918,,
2024-10-07,3457952.0,226.7741,225.38,227.12,227.67,225.02,65970,,
2024-10-08,3245342.0,228.4801,228.11,228.62,229.345,227.0401,55324,,
2024-10-09,5083566.0,233.2859,229.2,234.3,234.95,228.5,78472,,
2024-10-10,3142031.0,233.2236,235.1,233.02,235.83,231.81,56371,,
2024-10-11,3469322.0,232.1644,233.25,233.26,233.44,230.46,60265,,
2024-10-14,2524389.0,235.2997,233.57,235.26,236.12,233.17,54925,,
2024-10-15,3350556.0,234.5915,236.4,232.96,237.37,232.71,61994,224.346,
2024-10-16,2846669.0,232.8005,232.11,233.67,233.88,231.12,51337,225.28250000000003,
2024-10-17,5040092.0,232.6276,232.0,232.88,233.145,230.655,56050,226.23200000000003,
2024-10-18,4715688.0,231.9685,231.92,232.2,232.6499,230.17,54915,226.95700000000002,
2024-10-21,2733336.0,231.4968,231.21,231.75,232.42,230.26,54858,227.51950000000002,
2024-10-22,3180807.0,232.1513,231.99,232.25,232.97,230.67,52546,228.08350000000002,
2024-10-23,5791002.0,231.185,230.41,232.75,233.34,230.26,89381,228.65950000000004,
2024-10-24,11193440.0,218.3327,220.8,218.39,221.32,216.16,163410,228.40749999999997,
2024-10-25,8482235.0,215.7888,216.8,214.67,218.65,214.385,106329,228.099,
2024-10-28,4993343.0,213.4121,215.5,212.91,216.25,212.7,81450,227.69050000000001,
2024-10-29,5258366.0,211.0547,211.99,210.43,213.34,209.85,86788,227.24449999999996,
2024-10-30,6956624.0,206.0094,209.48,204.9,211.12,204.26,104817,226.50300000000001,
2024-10-31,5925250.0,206.5356,204.13,206.72,208.13,203.51,80524,225.70299999999997,
2024-11-01,3334308.0,208.5544,207.77,208.25,209.84,207.41,62342,224.8155,
2024-11-04,2594119.0,206.5441,207.65,206.32,207.7,205.8,53507,223.77550000000002,
2024-11-05,2441535.0,207.2955,206.17,207.57,208.115,205.57,42734,222.723,
2024-11-06,3934386.0,213.0319,213.48,213.6,214.33,210.37,72175,221.68800000000002,
2024-11-07,3675812.0,213.4414,213.64,213.69,214.5199,211.93,56139,220.72150000000002,
2024-11-08,3201038.0,214.4152,214.16,213.72,216.7,212.7809,57230,219.74450000000002,
2024-11-11,3012987.0,214.0177,214.4,213.57,215.41,213.48,49455,218.66,
2024-11-12,2818216.0,210.5989,211.9,210.86,213.03,209.06,56793,217.55499999999998,
2024-11-13,3247830.0,210.6922,209.5,210.92,211.41,209.0701,48773,216.41749999999996,
2024-11-14,6372853.0,208.6158,210.0,208.99,210.4999,206.35,75595,215.223,
2024-11-15,3986460.0,205.7395,207.46,204.99,208.49,204.07,67067,213.8625,
2024-11-18,3406045.0,207.5214,207.0,208.09,208.415,205.3701,58332,212.67950000000002,
2024-11-19,2860746.0,209.1333,206.5,210.25,210.33,206.19,51215,211.5795,
2024-11-20,4562901.0,213.1128,211.0,214.6,214.96,209.7725,70506,210.67199999999997,
2024-11-21,5236434.0,220.8909,215.81,222.4,222.63,215.2701,83340,210.8725,
2024-11-22,5320740.0,223.1526,223.35,222.97,227.2,220.89,86768,211.2875,
2024-11-25,7189260.0,225.499,223.35,226.13,226.42,222.65,70162,211.94850000000002,
2024-11-26,4449543.0,227.8805,226.73,228.83,228.98,225.5115,60098,212.86849999999998,219.9238
2024-11-27,2995121.0,226.4801,228.83,226.92,229.19,224.27,52036,213.9695,220.1634
2024-11-29,2640253.0,227.8223,227.75,227.41,230.36,227.19,32810,215.004,220.43380000000002
2024-12-02,2656181.0,227.298,227.5,227.39,228.38,225.51,48247,215.961,220.62759999999997
2024-12-03,3163815.0,228.3134,227.24,229.0,229.11,226.67,42143,217.09500000000003,220.7976
2024-12-04,4104195.0,232.7904,230.0,233.49,233.74,229.35,64724,218.391,221.048
2024-12-05,4791116.0,235.1471,233.55,234.75,236.52,233.46,67793,219.44850000000002,221.3184
2024-12-06,4028430.0,237.7113,234.43,238.04,238.38,234.22,62292,220.666,221.6106
2024-12-09,4970449.0,232.7427,238.0,230.0,239.35,228.91,90142,221.48000000000002,221.7938
2024-12-10,4769531.0,232.0789,228.4,231.72,234.39,227.8,78528,222.3875,222.0066
2024-12-11,3872680.0,230.6628,232.69,230.12,233.0,229.13,63424,223.3505,222.222
2024-12-12,4515741.0,232.519,230.66,232.26,233.89,230.38,55900,224.41749999999996,222.47259999999997
2024-12-13,2757683.0,231.0929,232.25,230.82,233.775,230.26,44928,225.50900000000001,222.63460000000003
2024-12-16,3610257.0,228.7195,230.73,229.33,231.03,226.88,64719,226.72600000000003,222.70120000000003
2024-12-17,3651346.0,228.9779,229.23,228.97,230.2,227.62,53460,227.77000000000004,222.7382
2024-12-18,4152517.0,222.8229,229.035,220.17,229.035,220.03,64997,228.266,222.5692
2024-12-19,4430120.0,224.2275,224.42,223.92,226.2,222.98,64850,228.73199999999997,222.3616
2024-12-20,12423200.0,223.6895,222.73,223.36,227.6847,221.68,66563,228.78000000000003,222.1684
