date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,7051691.0,22.5065,22.48,22.48,22.7,22.385,31663,,
2024-09-19,6281332.0,22.6908,22.73,22.69,22.81,22.615,29927,,
2024-09-20,21841075.0,22.8255,22.64,22.85,22.9,22.61,40146,,
2024-09-23,4900501.0,22.6414,22.72,22.69,22.73,22.49,29626,,
2024-09-24,7015458.0,22.5514,22.62,22.58,22.72,22.46,27675,,
2024-09-25,9151512.0,22.5108,22.51,22.56,22.61,22.445,32914,,
2024-09-26,10927916.0,23.018,23.05,22.96,23.26,22.86,43515,,
2024-09-27,9702217.0,22.4371,22.62,22.39,22.699,22.34,42936,,
2024-09-30,11576921.0,22.2471,22.28,22.27,22.42,22.075,42356,,
2024-10-01,8366494.0,22.3914,22.42,22.39,22.52,22.27,40517,,
2024-10-02,5273097.0,22.2958,22.36,22.32,22.44,22.165,29121,,
2024-10-03,7816940.0,22.3683,22.19,22.41,22.43,22.19,30047,,
2024-10-04,9260993.0,22.7629,22.61,22.79,22.875,22.59,35584,,
2024-10-07,7549472.0,22.9402,22.73,22.91,23.07,22.72,35288,,
2024-10-08,7722532.0,23.2961,23.14,23.32,23.36,23.08,33283,,
2024-10-09,4269535.0,23.2975,23.32,23.27,23.38,23.21,25726,,
2024-10-10,7666008.0,22.6333,22.63,22.65,22.73,22.445,36585,,
2024-10-11,5065625.0,22.9319,22.83,22.93,22.99,22.78,25472,,
2024-10-14,7099991.0,23.3521,23.28,23.36,23.45,23.2,32026,,
2024-10-15,10562734.0,23.101,23.18,23.02,23.275,22.971,41200,22.741999999999997,
2024-10-16,13868475.0,22.8678,22.76,22.9,22.93,22.7,42802,22.762999999999998,
2024-10-17,16539055.0,22.4335,22.18,22.66,22.73,22.015,83719,22.761499999999998,
2024-10-18,11307580.0,22.4434,22.39,22.51,22.54,22.22,48641,22.744500000000002,
2024-10-21,10411855.0,22.1476,21.99,22.2,22.28,21.98,39101,22.720000000000002,
2024-10-22,5733904.0,22.1439,22.05,22.16,22.25,22.05,25575,22.698999999999998,
2024-10-23,4532125.0,22.216,22.18,22.21,22.37,22.11,22173,22.6815,
2024-10-24,7199903.0,22.0855,22.21,22.05,22.315,22.015,27111,22.636000000000003,
2024-10-25,6572848.0,21.946,22.05,21.89,22.09,21.87,31261,22.611,
2024-10-28,3887264.0,22.1113,22.21,22.07,22.22,22.05,17551,22.601,
2024-10-29,8789379.0,21.8057,21.68,21.77,21.97,21.625,29932,22.57,
2024-10-30,8486943.0,21.2567,21.52,21.12,21.56,21.11,31827,22.509999999999998,
2024-10-31,8615147.0,20.9254,21.04,20.91,21.08,20.865,35418,22.435,
2024-11-01,9285521.0,20.8634,20.88,20.76,21.035,20.76,29700,22.3335,
2024-11-04,11937305.0,20.7343,20.76,20.72,20.88,20.65,36237,22.223999999999997,
2024-11-05,9558368.0,20.7284,20.78,20.71,20.81,20.66,27240,22.0935,
2024-11-06,17779873.0,21.3246,21.51,21.4,21.6,21.2,53600,22.0,
2024-11-07,12341121.0,21.5225,21.44,21.65,21.66,21.34,37866,21.95,
2024-11-08,7742961.0,21.8048,21.66,21.75,22.0,21.66,34194,21.891000000000002,
2024-11-11,6092213.0,22.0142,21.88,22.04,22.13,21.77,31634,21.825,
2024-11-12,3849030.0,22.0731,22.02,22.02,22.17,21.99,23642,21.775,
2024-11-13,5432199.0,21.9556,21.98,22.04,22.055,21.8,29474,21.732,
2024-11-14,6169215.0,21.8746,21.94,21.82,22.03,21.81,28557,21.69,
2024-11-15,7650501.0,21.5244,21.71,21.53,21.75,21.37,35153,21.641,
2024-11-18,4816443.0,21.5674,21.33,21.6,21.665,21.27,27988,21.610999999999997,
2024-11-19,6033076.0,21.7351,21.43,21.73,21.95,21.43,27486,21.5895,
2024-11-20,7812632.0,21.9328,22.0,21.99,22.025,21.795,26811,21.5785,
2024-11-21,6121492.0,21.9522,21.82,21.96,22.04,21.77,20915,21.573999999999998,
2024-11-22,8678693.0,22.6415,22.41,22.79,22.81,22.3,37826,21.619,
2024-11-25,11805863.0,22.7918,22.48,22.84,22.88,22.45,38965,21.6575,
2024-11-26,7339629.0,23.1205,22.94,23.18,23.2,22.9,29638,21.728,22.2364
2024-11-27,9141186.0,22.8253,23.01,22.74,23.12,22.57,29372,21.809,22.2416
2024-11-29,5620906.0,22.1257,22.14,22.07,22.24,22.0,22750,21.866999999999997,22.229200000000002
2024-12-02,5836275.0,22.1863,22.11,22.2,22.28,22.005,25356,21.939,22.2162
2024-12-03,8215926.0,22.1315,22.29,22.12,22.395,22.03,33843,22.009,22.2048
2024-12-04,5866435.0,22.4998,22.34,22.52,22.605,22.265,34367,22.0995,22.2036
2024-12-05,5984700.0,22.9321,22.76,22.86,23.085,22.75,32396,22.1725,22.209600000000002
2024-12-06,4709626.0,22.8724,22.88,22.86,22.98,22.8,29714,22.232999999999997,22.207600000000003
2024-12-09,6292039.0,23.2399,23.01,23.16,23.41,23.005,33841,22.3035,22.223
2024-12-10,6600941.0,23.2434,23.13,23.24,23.375,22.96,34445,22.3635,22.242399999999996
2024-12-11,6193552.0,23.4046,23.24,23.36,23.51,23.19,34241,22.430500000000002,22.261800000000004
2024-12-12,5750965.0,23.2918,23.37,23.25,23.47,23.15,30301,22.491,22.2804
2024-12-13,4443501.0,23.4517,23.52,23.4,23.63,23.28,27861,22.57,22.3002
2024-12-16,9862063.0,23.4521,23.35,23.35,23.58,23.305,45066,22.660999999999998,22.3114
2024-12-17,3890608.0,23.2002,23.33,23.13,23.38,23.12,26588,22.7375,22.3158
2024-12-18,6070959.0,22.9607,23.13,22.65,23.29,22.62,35002,22.7835,22.302400000000002
