date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,118727940.0,21.1063,21.36,20.77,21.74,20.715,417604,,
2024-09-19,99829168.0,21.3023,21.28,21.14,21.69,21.03,355462,,
2024-09-20,260377912.0,21.7537,20.89,21.84,23.14,20.35,709197,,
2024-09-23,184439134.0,22.4699,22.43,22.56,22.82,22.03,674512,,
2024-09-24,113082534.0,22.7873,22.53,22.81,23.105,22.285,355720,,
2024-09-25,117013357.0,23.6049,22.8,23.54,24.055,22.73,421892,,
2024-09-26,95416939.0,23.813,24.28,23.92,24.42,23.25,379479,,
2024-09-27,85883278.0,24.0224,24.16,23.91,24.66,23.7034,309178,,
2024-09-30,66460225.0,23.4302,23.74,23.46,23.95,23.09,245073,,
2024-10-01,86344357.0,22.7283,23.46,22.69,23.72,22.255,283472,,
2024-10-02,59033896.0,22.6399,22.67,22.39,23.0668,22.35,224265,,
2024-10-03,49565931.0,22.2697,22.14,22.26,22.73,21.65,212646,,
2024-10-04,49966930.0,22.5558,22.7,22.59,22.91,22.3,197443,,
2024-10-07,54928674.0,22.3961,22.4,22.38,22.65,22.0209,188097,,
2024-10-08,58650461.0,22.9503,22.25,23.32,23.42,22.045,227620,,
2024-10-09,44759018.0,23.3343,23.25,23.46,23.48,23.06,185353,,
2024-10-10,44874580.0,23.2394,23.19,23.22,23.53,22.96,183849,,
2024-10-11,43585252.0,23.6138,23.05,23.56,23.82,22.98,195638,,
2024-10-14,35403646.0,23.4467,23.58,23.44,23.77,23.2701,173027,,
2024-10-15,68900556.0,22.813,23.41,22.66,23.72,22.47,278014,22.796,
2024-10-16,62151767.0,22.1735,22.38,22.31,22.54,21.74,278317,22.873,
2024-10-17,43807577.0,22.5541,22.72,22.44,22.82,22.4,187792,22.938,
2024-10-18,39971695.0,22.6995,22.61,22.77,22.82,22.5,143103,22.9845,
2024-10-21,39726985.0,22.6323,22.61,22.84,22.88,22.25,152584,22.9985,
2024-10-22,50160378.0,22.3933,22.73,22.4,22.82,22.17,169766,22.978,
2024-10-23,45799051.0,21.9878,22.3,21.98,22.425,21.575,187094,22.9,
2024-10-24,40554417.0,22.1933,22.09,22.34,22.365,21.97,158477,22.821,
2024-10-25,67502984.0,22.9019,22.42,22.68,23.3399,22.41,223260,22.7595,
2024-10-28,41914966.0,23.004,22.67,22.92,23.27,22.56,167996,22.7325,
2024-10-29,83422242.0,22.8766,22.87,22.9,23.14,22.41,204793,22.743000000000002,
2024-10-30,50941231.0,22.462,22.415,22.3,22.93,22.26,209505,22.738500000000002,
2024-10-31,112485547.0,22.2203,22.15,21.52,22.25,21.47,401246,22.7015,
2024-11-01,173471115.0,22.9794,23.0,23.2,23.58,21.91,553944,22.732,
2024-11-04,84616300.0,22.5059,22.96,22.52,23.0,22.0,334305,22.739,
2024-11-05,59153326.0,23.2083,22.58,23.32,23.58,22.4,231802,22.739,
2024-11-06,116760537.0,24.6786,24.3,25.05,25.12,24.05,465893,22.8185,
2024-11-07,101489302.0,26.0195,25.43,26.23,26.3799,25.19,380822,22.969,
2024-11-08,76427983.0,26.1554,26.0,26.2,26.43,25.83,299944,23.101,
2024-11-11,80185321.0,25.2515,25.96,25.05,26.2863,24.83,300795,23.1815,
2024-11-12,62539733.0,24.2265,24.66,24.16,24.96,23.89,243519,23.2565,
2024-11-13,58201972.0,24.7202,24.06,24.92,25.14,24.02,225150,23.387,
2024-11-14,49252121.0,25.1543,25.12,25.03,25.61,24.9346,200279,23.5165,
2024-11-15,55104875.0,24.4507,24.81,24.35,24.82,24.23,194672,23.5955,
2024-11-18,59667333.0,24.6493,24.33,24.84,25.02,24.16,195976,23.695500000000003,
2024-11-19,61190859.0,24.2142,24.5,24.2,24.54,24.095,158962,23.7855,
2024-11-20,50191510.0,23.8785,24.07,24.01,24.21,23.55,193329,23.887,
2024-11-21,58928410.0,24.4025,24.08,24.44,24.77,23.83,205199,23.992,
2024-11-22,36784715.0,24.4786,24.35,24.5,24.68,24.14,141559,24.083000000000002,
2024-11-25,91128387.0,25.0376,25.04,24.87,25.565,24.76,302270,24.180500000000002,
2024-11-26,69613557.0,24.1661,24.95,24.05,24.985,23.81,242401,24.238,23.3252
2024-11-27,53992319.0,23.4555,23.83,23.65,23.93,23.06,211328,24.305500000000002,23.382800000000003
2024-11-29,36616750.0,24.0059,23.72,24.05,24.28,23.6,133576,24.432,23.441
2024-12-02,150497884.0,24.4658,24.84,23.93,25.48,23.44,522730,24.4685,23.4828
2024-12-03,138160493.0,22.7853,23.68,22.47,23.75,22.44,442204,24.466,23.480999999999998
2024-12-04,104648976.0,22.0517,22.53,21.96,22.54,21.81,344771,24.398,23.464000000000002
2024-12-05,167993483.0,21.0583,22.04,20.8,22.19,20.66,486253,24.185499999999998,23.409200000000002
2024-12-06,78539132.0,20.8832,20.95,20.92,21.05,20.66,276944,23.92,23.3492
2024-12-09,68818217.0,20.887,20.92,20.81,21.06,20.73,261411,23.6505,23.2872
2024-12-10,90004833.0,20.2392,20.83,20.16,20.86,19.96,325835,23.406,23.2212
2024-12-11,75209342.0,20.0892,20.14,20.12,20.25,19.87,252068,23.204,23.1698
2024-12-12,77695010.0,20.5979,20.02,20.78,20.9,19.92,248495,22.997,23.137600000000003
2024-12-13,55104079.0,20.4067,20.6,20.34,20.8,20.25,202993,22.7625,23.0992
2024-12-16,73832891.0,20.6734,20.17,20.83,21.1,20.0,249839,22.586499999999997,23.063999999999997
2024-12-17,51767153.0,20.4781,20.64,20.44,20.77,20.2925,197212,22.366500000000002,23.025199999999998
2024-12-18,86041243.0,19.8078,20.48,19.3,20.58,19.21,278397,22.1215,22.9448
2024-12-19,69117805.0,19.2321,19.53,19.06,19.69,19.03,261178,21.874,22.856800000000003
2024-12-20,108453667.0,19.437,18.97,19.52,19.76,18.9,244353,21.628,22.7828
2024-12-23,57988375.0,20.0341,19.58,20.2,20.23,19.52,221163,21.413,22.7156
2024-12-24,29884026.0,20.2556,20.22,20.4,20.4,19.96,107455,21.1895,22.6548
2024-12-26,39950380.0,20.4848,20.23,20.44,20.665,20.08,154539,21.009,22.6104
2024-12-27,48260830.0,20.2816,20.21,20.3,20.605,20.09,167600,20.8415,22.5702
2024-12-30,59608126.0,19.876,20.01,19.82,20.115,19.73,198819,20.63,22.517799999999998
2024-12-31,49846656.0,20.0666,19.99,20.05,20.4,19.88,183373,20.436,22.463399999999996
2025-01-02,46438529.0,20.2193,20.23,20.22,20.43,20.0,182856,20.3235,22.410999999999998
2025-01-03,48983942.0,20.4393,20.39,20.56,20.665,20.06,183369,20.2535,22.374200000000002
2025-01-06,83270990.0,20.2719,20.83,19.87,20.98,19.78,293938,20.207,22.331999999999997
2025-01-07,61726060.0,20.0701,20.02,20.01,20.34,19.9,217469,20.1615,22.2854
2025-01-08,47897071.0,19.88,19.825,19.88,20.12,19.71,183341,20.115000000000002,22.229400000000002
2025-01-10,71244581.0,19.1625,19.66,19.15,19.66,18.91,275119,20.064500000000002,22.154
2025-01-13,50668970.0,18.9931,18.92,19.2,19.249,18.73,200312,20.0185,22.08
2025-01-14,47147526.0,19.1214,19.36,19.2,19.52,18.82,176450,19.9395,22.018
2025-01-15,56305989.0,19.5355,19.4,19.72,19.77,19.171,187385,19.9085,21.982000000000003
2025-01-16,44898059.0,19.6783,19.75,19.67,19.95,19.4,156955,19.850500000000004,21.9114
2025-01-17,166483914.0,21.2743,21.26,21.49,21.62,20.79,534777,19.903,21.8908
2025-01-21,96262179.0,21.9507,22.03,21.77,22.41,21.75,350494,20.026500000000002,21.8598
2025-01-22,60972578.0,21.91,21.725,21.86,22.285,21.57,234468,20.1665,21.796
2025-01-23,55778156.0,21.5016,21.69,21.57,21.75,21.35,195925,20.269,21.702799999999996
2025-01-24,66300614.0,20.9466,21.36,20.83,21.41,20.75,232413,20.3005,21.595399999999998
2025-01-27,83582097.0,20.478,20.81,20.29,21.06,20.14,352233,20.294999999999998,21.5002
2025-01-28,73411385.0,19.8853,20.34,19.8,20.342,19.74,248680,20.262999999999998,21.413
2025-01-29,86506821.0,19.8033,19.87,19.75,20.08,19.66,209936,20.2355,21.3096
2025-01-30,108166983.0,19.897,19.72,20.01,20.1,19.43,381927,20.244999999999997,21.2092
2025-01-31,117474899.0,19.7766,20.1,19.43,20.33,19.38,424779,20.214,21.110800000000005
2025-02-03,77523142.0,19.3683,18.97,19.38,19.75,18.78,313983,20.172,21.0016
2025-02-04,54098200.0,19.3188,19.1,19.29,19.53,19.02,188782,20.1085,20.903399999999998
2025-02-05,66250254.0,19.4993,19.19,19.65,19.77,18.91,215651,20.0975,20.8162
2025-02-06,45553771.0,19.3902,19.51,19.38,19.7,19.22,161006,20.065999999999995,20.715
2025-02-07,58277917.0,19.1185,19.35,19.1,19.36,19.03,180695,20.026999999999997,20.607
2025-02-10,73007266.0,19.7686,19.25,19.77,20.08,19.24,214353,20.058,20.505
2025-02-11,150960704.0,21.0628,19.87,20.97,21.88,19.8618,474031,20.1465,20.4434
2025-02-12,162631182.0,21.9163,21.98,22.48,22.56,20.93,551662,20.3105,20.42
2025-02-13,248661333.0,24.2445,22.84,24.13,24.83,22.79,833781,20.531,20.421599999999998
2025-02-14,230254092.0,23.7261,24.36,23.6,25.19,22.86,750106,20.7275,20.415
2025-02-18,284292210.0,26.2415,24.6,27.39,27.55,24.49,957322,21.0225,20.5134
2025-02-19,151881727.0,25.9117,25.98,25.72,26.33,25.46,600415,21.22,20.588599999999996
2025-02-20,144939566.0,25.2776,25.56,26.09,26.12,24.48,431540,21.4315,20.6944
2025-02-21,111630859.0,25.3092,25.96,24.87,26.29,24.84,359289,21.5965,20.773400000000002
2025-02-24,91358071.0,24.3039,24.55,24.27,24.8,23.62,346925,21.7685,20.842599999999997
2025-02-25,88886469.0,23.2251,24.21,22.99,24.28,22.7701,323254,21.9035,20.8992
2025-02-26,67449304.0,23.5569,23.245,23.52,23.82,23.21,218145,22.0895,20.9672
2025-02-27,97871945.0,23.7068,23.7,23.09,24.4,23.07,305959,22.2565,21.013399999999997
2025-02-28,104133777.0,23.7223,23.02,23.73,24.44,22.64,344333,22.442500000000003,21.0812
2025-03-03,141348692.0,23.8398,25.0,22.74,25.04,22.52,521280,22.608,21.1194
2025-03-04,152182200.0,21.4305,22.54,21.33,22.63,20.76,632068,22.7055,21.137200000000004
2025-03-05,127219259.0,20.6531,21.33,20.81,21.36,20.18,458434,22.7815,21.1674
2025-03-06,96466381.0,20.7022,20.26,20.75,21.13,20.0,373804,22.8365,21.2012
2025-03-07,81099646.0,20.5736,20.27,20.64,21.2,20.11,302077,22.8995,21.223599999999998
2025-03-10,82760577.0,19.9945,20.24,19.93,20.51,19.65,328691,22.941,21.218200000000003
2025-03-11,80788985.0,19.7163,19.965,19.78,20.06,19.29,346865,22.9415,21.2058
2025-03-12,128671089.0,21.0724,20.79,20.68,21.17,20.21,475057,22.927,21.2106
2025-03-13,243260993.0,23.7797,23.5,23.7,24.53,23.13,874236,22.988,21.2786
2025-03-14,116901643.0,23.9691,23.675,24.05,24.37,23.52,416794,22.983999999999998,21.363200000000003
2025-03-17,160723633.0,25.6695,24.42,25.69,26.145,24.37,633398,23.0885,21.476000000000003
2025-03-18,132488822.0,25.9796,25.55,25.92,26.41,25.39,469043,23.015,21.59
2025-03-19,135491427.0,24.3786,24.9,24.12,25.2299,24.03,514889,22.935,21.661199999999997
2025-03-20,68937584.0,23.9652,23.77,23.96,24.31,23.73,253541,22.828500000000002,21.743000000000002
2025-03-21,94110710.0,24.1925,23.6,24.26,24.7,23.49,251002,22.798000000000002,21.828000000000003
2025-03-24,69169028.0,24.3573,24.715,24.22,24.99,24.13,275676,22.795499999999997,21.9148
2025-03-25,51743281.0,24.3188,24.175,24.2,24.75,24.11,197702,22.855999999999998,22.0158
2025-03-26,59678008.0,23.5433,24.25,23.42,24.4194,23.25,244092,22.851,22.1002
2025-03-27,57720584.0,23.3245,23.285,23.62,23.76,22.855,234876,22.8775,22.1886
2025-03-28,58365257.0,22.8449,23.35,22.71,23.58,22.56,235790,22.8265,22.248399999999997
2025-03-31,65832019.0,22.4029,22.38,22.71,22.745,21.75,285124,22.825,22.3092
2025-04-01,64060355.0,22.0453,22.56,22.05,22.62,21.66,274832,22.861,22.3204
2025-04-02,58878848.0,21.958,21.89,21.98,22.38,21.7,234955,22.9195,22.3246
2025-04-03,242972129.0,22.2404,21.4,22.43,23.9,20.86,990461,23.0035,22.336
2025-04-04,175014739.0,20.4383,21.7,19.85,22.2,19.7,726213,22.964000000000002,22.301599999999997
2025-04-07,142491152.0,19.3992,19.14,19.57,20.67,18.56,698220,22.946,22.276400000000002
2025-04-08,163982681.0,18.9234,20.06,18.13,20.39,17.665,639424,22.8635,22.233199999999997
2025-04-09,224183490.0,20.2876,18.07,21.53,21.73,17.975,890325,22.906000000000002,22.267799999999998
2025-04-10,129064855.0,19.9399,20.675,19.88,20.82,19.16,524408,22.715,22.2704
2025-04-11,128425810.0,19.0208,19.245,19.74,19.795,18.175,486440,22.4995,22.265
2025-04-14,101964371.0,20.4553,20.59,20.31,21.05,19.9801,400992,22.2305,22.2826
2025-04-15,64056895.0,20.0372,20.2,19.85,20.47,19.81,229184,21.927,22.291999999999998
2025-04-16,89469703.0,19.1588,19.34,19.23,19.43,18.72,318858,21.6825,22.2908
2025-04-17,85646667.0,18.8785,18.91,18.93,19.1,18.56,305449,21.431,22.2764
2025-04-21,72409946.0,18.6383,18.93,18.84,18.985,18.25,272580,21.16,22.265600000000003
2025-04-22,83365634.0,19.4475,19.055,19.51,19.735,19.04,269191,20.924500000000002,22.2738
2025-04-23,97188101.0,20.6743,20.715,20.59,21.03,20.31,389135,20.744000000000003,22.2902
2025-04-24,117086220.0,21.1413,21.035,21.49,21.55,20.88,394745,20.6475,22.3006
2025-04-25,147711174.0,19.8942,19.73,20.05,20.18,19.34,456455,20.469,22.252
2025-04-28,96624416.0,20.4815,20.12,20.51,21.08,20.05,297551,20.358999999999998,22.1796
2025-04-29,70031864.0,20.5197,20.31,20.34,20.845,20.22,218383,20.2405,22.114399999999996
2025-04-30,68297323.0,19.8992,19.71,20.1,20.18,19.55,248559,20.143,21.968600000000002
2025-05-01,72607511.0,20.2354,20.215,19.98,20.65,19.94,255200,20.043,21.8538
2025-05-02,63298512.0,20.5693,20.26,20.62,20.78,20.21,200718,19.9525,21.7444
2025-05-05,44236981.0,20.3519,20.39,20.27,20.58,20.235,142885,19.973499999999998,21.652399999999997
2025-05-06,51330772.0,19.9543,19.92,19.94,20.12,19.77,166957,19.992,21.5658
2025-05-07,61134293.0,20.1057,19.97,20.31,20.37,19.82,181920,20.101,21.512199999999996
2025-05-08,71651698.0,20.9625,21.01,21.0,21.24,20.64,243316,20.074499999999997,21.461799999999997
2025-05-09,51768565.0,21.1818,21.2,21.42,21.45,20.83,159548,20.1515,21.4284
2025-05-12,94578691.0,22.1792,22.18,22.18,22.67,21.88,334704,20.273500000000002,21.3974
2025-05-13,76850385.0,22.5934,22.355,22.56,22.88,22.3,246536,20.386000000000003,21.393800000000002
2025-05-14,91584827.0,21.7018,22.35,21.52,22.46,21.46,286030,20.4695,21.3976
2025-05-15,66705457.0,21.4618,21.23,21.55,21.63,21.185,202900,20.5855,21.412399999999998
2025-05-16,55795144.0,21.5985,21.53,21.66,21.76,21.35,165500,20.722,21.4306
2025-05-19,64279077.0,21.3758,21.18,21.38,21.56,21.05,151440,20.849,21.4454
2025-05-20,48497384.0,21.2909,21.325,21.27,21.41,21.12,120779,20.937,21.4722
2025-05-21,62904697.0,21.0566,21.19,20.69,21.6292,20.59,177326,20.942,21.4904
2025-05-22,56077473.0,20.6866,20.73,20.55,20.9,20.51,137230,20.895000000000003,21.487799999999996
2025-05-23,68206064.0,20.0823,20.16,20.05,20.27,19.94,221530,20.895000000000003,21.4148
2025-05-27,69504564.0,20.4447,20.44,20.55,20.67,20.18,169474,20.897000000000002,21.3448
2025-05-28,46096476.0,20.4781,20.57,20.37,20.64,20.33,141380,20.898500000000002,21.2384
2025-05-29,66485207.0,20.245,20.54,20.25,20.595,20.1,194904,20.906,21.125
2025-05-30,114281897.0,19.6566,20.26,19.55,20.26,19.31,296081,20.8845,21.0336
2025-06-02,67885473.0,19.6319,19.482,19.74,19.82,19.3745,191807,20.8405,20.9492
2025-06-03,80401865.0,20.1203,19.75,20.29,20.4099,19.4,216350,20.841500000000003,20.8698
2025-06-04,71166549.0,20.2703,20.34,20.25,20.5,20.01,206032,20.857,20.790399999999998
2025-06-05,72595606.0,20.2088,20.27,19.99,20.55,19.85,203759,20.841,20.7062
2025-06-06,70072846.0,20.2062,20.17,20.06,20.44,20.03,179242,20.794,20.639
2025-06-09,92893898.0,20.6317,20.22,20.48,20.96,20.22,265216,20.747,20.5762
2025-06-10,171457008.0,21.6141,20.5,22.08,22.44,20.28,415846,20.741999999999997,20.5636
2025-06-11,146784468.0,20.8825,21.78,20.68,21.83,20.38,447341,20.648,20.523000000000003
2025-06-12,78175914.0,20.6961,20.5,20.77,20.98,20.41,192631,20.610500000000002,20.4974
2025-06-13,87655889.0,20.3198,20.33,20.14,20.6,20.1,213789,20.54,20.4606
2025-06-16,86745123.0,20.7238,20.41,20.74,20.93,20.3,223891,20.494,20.4268
2025-06-17,87512156.0,20.9763,20.63,20.8,21.48,20.62,228769,20.464999999999996,20.4458
2025-06-18,94200572.0,21.3246,20.805,21.49,21.6,20.66,232171,20.476,20.4842
2025-06-20,133472814.0,21.2249,21.7,21.08,21.885,20.88,236736,20.4955,20.5432
