date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,10323537.0,538.5835,537.065,537.95,544.2,533.9026,193714,,
2024-09-19,15646951.0,556.471,550.0,559.1,562.07,546.52,309813,,
2024-09-20,22066817.0,561.1707,560.0,561.35,564.5,556.3001,237051,,
2024-09-23,12830669.0,566.2661,569.5,564.41,573.9799,562.41,232829,,
2024-09-24,12992956.0,561.6876,566.68,563.33,567.745,554.19,210803,,
2024-09-25,16543350.0,570.4965,564.05,568.31,576.88,563.72,294987,,
2024-09-26,14400787.0,569.0338,575.73,567.84,577.4,562.3501,274191,,
2024-09-27,9398367.0,567.6383,570.1,567.36,570.8399,564.51,185300,,
2024-09-30,12807206.0,571.1022,567.7,572.44,574.68,564.8,198226,,
2024-10-01,15259274.0,576.8098,577.98,576.47,583.04,570.1,275136,,
2024-10-02,6524650.0,572.9866,574.86,572.81,576.0,569.34,160973,,
2024-10-03,11580980.0,579.0734,570.15,582.77,583.36,568.73,219869,,
2024-10-04,14199788.0,589.8149,583.73,595.94,596.85,581.43,262851,,
2024-10-07,12014198.0,591.1166,598.22,584.78,602.95,584.04,260097,,
2024-10-08,7857377.0,590.6561,589.69,592.89,593.56,585.97,165549,,
2024-10-09,9529707.0,588.0853,593.99,590.51,594.39,581.61,216196,,
2024-10-10,7740449.0,585.6366,587.57,583.83,590.23,582.52,172252,,
2024-10-11,8587051.0,587.7321,584.83,589.95,591.21,582.71,175528,,
2024-10-14,8251971.0,593.7079,594.22,590.42,600.1,589.96,190703,,
2024-10-15,9564236.0,585.4106,590.16,586.27,590.61,580.143,215267,575.4365,
2024-10-16,11268384.0,576.7788,581.395,576.79,582.08,574.03,233780,577.3785,
2024-10-17,8701158.0,578.3077,583.33,576.93,584.97,575.2,173524,578.2700000000001,
2024-10-18,7694274.0,579.138,581.1,576.47,583.9675,575.25,153979,579.0260000000001,
2024-10-21,8171879.0,573.1818,576.03,575.16,577.2399,569.11,180549,579.5635,
2024-10-22,8544463.0,579.516,574.29,582.01,583.53,572.12,169579,580.4975000000001,
2024-10-23,14248419.0,570.018,579.97,563.69,585.0,562.5,276890,580.2665,
2024-10-24,7184651.0,566.5543,567.125,567.78,568.8799,561.52,163321,580.2634999999999,
2024-10-25,11337874.0,575.5876,573.935,573.25,581.29,571.72,211240,580.558,
2024-10-28,10925131.0,577.8675,582.0,578.16,583.7499,574.12,205653,580.8439999999999,
2024-10-29,13019092.0,588.9408,580.145,593.28,593.67,575.398,260631,581.6845000000001,
2024-10-30,26864925.0,592.7667,600.98,591.8,601.2,589.38,549276,582.6339999999999,
2024-10-31,26838395.0,572.4365,585.0,567.58,589.9,563.01,516258,581.8745,
2024-11-01,15303235.0,568.9208,567.605,567.16,573.67,562.56,288091,580.4354999999999,
2024-11-04,12064601.0,562.5451,564.1,560.68,568.69,557.89,244774,579.2304999999999,
2024-11-05,9775379.0,570.7714,567.305,572.43,573.48,566.67,187604,578.2075,
2024-11-06,18305429.0,566.2388,562.75,572.05,573.0,555.1679,386439,577.2845,
2024-11-07,14653708.0,589.3141,576.89,591.7,594.7999,575.21,311945,577.678,
2024-11-08,9415699.0,588.229,591.54,589.34,593.1,584.52,206210,577.6474999999999,
2024-11-11,10209051.0,581.9176,586.36,583.17,587.0,576.51,218814,577.285,
2024-11-12,16287724.0,587.4764,588.545,584.82,599.66,580.38,317132,577.2125,
2024-11-13,10757583.0,580.6955,582.605,580.0,585.64,575.17,207528,577.3729999999999,
2024-11-14,11053743.0,576.4384,577.0,577.16,580.76,573.01,189141,577.3844999999999,
2024-11-15,17712864.0,558.4149,571.22,554.08,572.57,551.5,339379,576.265,
2024-11-18,14346715.0,555.0467,557.04,554.4,559.9,550.09,247177,575.2270000000001,
2024-11-19,9522445.0,556.9439,551.86,561.09,561.43,550.6,166827,574.1809999999999,
2024-11-20,9797339.0,562.6119,562.93,565.52,566.3499,554.2001,184700,574.2724999999999,
2024-11-21,11154749.0,559.6872,569.52,563.09,570.0,549.05,228107,574.038,
2024-11-22,9164004.0,558.7626,563.55,559.14,563.8273,554.59,194672,573.3325,
2024-11-25,13599830.0,564.2552,562.1,565.11,572.5915,556.39,212359,572.6800000000001,
2024-11-26,10356550.0,572.9434,566.0,573.54,577.5,565.2,191661,571.693,574.1222
2024-11-27,7200228.0,568.5854,574.89,569.2,574.98,564.1001,143981,570.563,574.7472
2024-11-29,7130519.0,574.3568,569.0,574.32,578.46,566.9,130043,570.9,575.0516
2024-12-02,12522371.0,589.8679,577.5,592.83,594.5,575.57,245023,572.1835000000001,575.6812
2024-12-03,14907164.0,605.8793,595.0,613.65,614.2,591.2501,295852,574.8320000000001,576.6659999999999
2024-12-04,14697006.0,612.1586,612.96,613.78,617.78,605.1,271514,576.8995,577.675
2024-12-05,8081212.0,610.8825,617.075,608.93,619.9,607.05,184364,578.7434999999999,578.4874
2024-12-06,16935503.0,622.1909,610.1,623.77,629.7899,608.53,279559,580.347,579.606
2024-12-09,11426015.0,614.4754,623.925,613.57,626.4,606.1701,257040,581.5585,580.5301999999999
2024-12-10,10938854.0,619.1516,617.56,619.32,625.59,612.74,211246,583.366,581.4678
2024-12-11,10837228.0,633.0106,623.37,632.68,638.4,621.5349,241989,585.759,582.592
2024-12-12,7474717.0,631.856,631.5,630.79,636.6599,627.2094,189687,588.2985000000001,583.7516
2024-12-13,8453349.0,621.4326,627.22,620.35,631.08,616.886,205799,590.458,584.5032
2024-12-16,10885625.0,624.9055,629.975,624.24,631.15,618.58,242913,593.966,585.0692
2024-12-17,12897842.0,621.5642,626.17,619.44,632.37,616.54,249660,597.218,585.7624
2024-12-18,17075480.0,611.6723,621.0,597.19,627.36,596.32,318022,599.023,585.8484
2024-12-19,14958082.0,600.5416,610.39,595.57,611.52,595.0,284487,600.5255,585.9496
2024-12-20,48989390.0,588.0525,590.58,585.25,603.11,580.0,317394,601.6335,585.9780000000001
2024-12-23,10205750.0,595.7855,589.6,599.85,601.09,586.25,232826,603.6690000000001,586.1759999999999
2024-12-24,4726056.0,605.0638,602.715,607.75,607.99,599.2849,121225,605.801,586.5226
2024-12-26,6091239.0,603.1119,605.48,603.35,606.3,598.94,168513,607.2915,586.8642
2024-12-27,8084229.0,595.7816,599.41,599.81,601.85,589.8,202554,608.822,587.3246
2024-12-30,7025864.0,591.6705,588.75,591.24,596.9399,585.58,190972,609.668,587.6108
2024-12-31,6019520.0,588.0471,592.265,585.51,593.97,583.85,151474,609.3019999999999,587.7916
2025-01-02,12682269.0,597.1487,589.72,599.24,604.91,587.82,248322,608.5815,588.2732
2025-01-03,11436784.0,603.2823,604.76,604.63,609.5,596.4136,220346,608.124,588.7256
2025-01-06,14560754.0,621.719,611.825,630.2,630.99,605.62,301412,609.1875,590.0558
2025-01-07,12071479.0,619.0049,631.7,617.89,632.1011,608.23,283114,608.8935,591.058
2025-01-08,10085846.0,610.9938,613.395,610.72,616.4397,602.79,226180,608.751,591.8074
2025-01-10,19256564.0,616.6368,610.03,615.86,629.91,597.34,394275,608.5780000000001,592.5614
2025-01-13,10785031.0,605.1634,607.1,608.33,608.97,598.445,251995,607.3605,592.8624
2025-01-14,13597992.0,595.6279,605.065,594.25,605.49,588.55,318111,605.5335,592.9114
2025-01-15,15524302.0,615.6588,610.21,617.12,622.46,606.5,295460,605.3720000000001,593.9022
2025-01-16,8355349.0,612.4426,611.5,611.3,616.25,609.71,193828,604.7250000000001,594.785
2025-01-17,17280600.0,614.6584,624.05,612.77,624.97,603.67,283468,604.3915,595.8268
2025-01-21,11674016.0,616.2588,617.825,616.46,621.5,609.0082,271033,605.355,596.7074
2025-01-22,12274011.0,626.1746,623.3,623.5,633.7,619.435,264124,606.7515000000001,597.7364
2025-01-23,9910163.0,631.1395,627.36,636.45,636.6,621.15,225153,609.3115,598.6314
2025-01-24,19065329.0,644.7221,636.4,647.49,652.0,634.2,423876,611.6935000000001,599.7944
2025-01-27,28399190.0,649.3074,626.61,659.88,663.87,625.1,620713,614.3,601.3286
2025-01-28,20950107.0,673.4472,666.0,674.33,682.58,659.465,470037,617.8489999999999,603.1188000000001
2025-01-29,21377820.0,677.1677,675.0,676.49,681.0459,665.67,503477,621.683,605.0486
2025-01-30,29322898.0,693.2224,696.82,687.0,710.79,676.1,580180,626.471,607.2454
2025-01-31,19331660.0,695.4858,691.0,689.18,705.2999,685.58,390412,631.6545,609.9474
2025-02-03,21415739.0,695.3326,675.91,697.46,704.0,675.25,425385,636.5655,612.8086
2025-02-04,13826270.0,702.5395,702.5,704.19,707.71,691.61,308851,641.5435,615.6706
2025-02-05,17793766.0,706.5286,703.55,704.87,718.14,699.01,339273,645.277,618.4576000000001
2025-02-06,13080690.0,711.5891,705.88,711.99,718.9,703.5,290274,649.982,621.4356
2025-02-07,16427067.0,717.5696,716.795,714.52,725.01,711.75,332899,655.172,624.5432
2025-02-10,12904317.0,716.2391,718.56,717.4,721.2,711.33,279239,660.249,627.589
2025-02-11,12997959.0,718.4189,713.32,719.8,723.66,710.04,258899,665.8225,630.5142
2025-02-12,12016517.0,721.9081,715.3,725.38,727.1,712.6,259828,672.379,633.6378
2025-02-13,12569064.0,724.3386,721.5197,728.56,729.0,718.04,273427,677.951,636.7225999999999
2025-02-14,16901249.0,735.0922,726.14,736.67,740.91,725.62,321136,684.2194999999999,639.5994000000001
2025-02-18,21938703.0,717.2434,736.0,716.37,737.0,706.44,483676,689.3995000000001,641.6537999999999
2025-02-19,17535480.0,702.3489,704.095,703.77,707.0,695.39,399105,693.765,643.4536
2025-02-20,12587408.0,697.4905,697.275,694.84,705.63,693.64,273924,697.332,645.1718
2025-02-21,15660355.0,690.0984,696.58,683.55,703.87,682.36,324895,699.687,646.3674
2025-02-24,15676994.0,670.8302,686.28,668.13,687.27,662.45,363259,700.7189999999999,647.4586
2025-02-25,20579662.0,655.4344,665.972,657.5,668.0,641.86,426919,700.6,648.2222
2025-02-26,14488705.0,673.8935,659.65,673.7,683.0078,658.0,332634,700.5685000000001,649.0426
2025-02-27,12500013.0,668.3666,682.45,658.24,688.6469,657.57,288475,699.6560000000001,649.5916
2025-02-28,17534168.0,661.5255,658.04,668.2,669.63,642.6017,316028,698.716,650.5486
2025-03-03,10843763.0,663.4861,673.675,655.05,681.25,650.8439,278828,697.0095,651.1648
2025-03-04,21495208.0,636.1123,645.51,640.0,649.75,623.65,496156,694.1365,651.576
2025-03-05,13770026.0,649.6496,641.0,656.47,659.5,637.66,298281,691.7505,652.7616
2025-03-06,13446454.0,635.2639,648.0,627.93,650.5625,624.11,335006,687.9035,653.4087999999999
2025-03-07,21375671.0,617.7874,625.37,625.66,634.79,600.61,421322,683.587,654.217
2025-03-10,21999943.0,596.573,608.07,597.99,610.1059,586.8701,518102,677.7605,654.1798
2025-03-11,17401469.0,605.6003,595.055,605.71,614.934,593.33,355019,672.176,654.139
2025-03-12,15746966.0,621.7399,629.9,619.56,633.33,609.35,341531,667.164,654.4632
2025-03-13,16480324.0,596.4984,620.245,590.64,620.5,586.51,378837,660.4269999999999,654.2798
2025-03-14,12364505.0,604.3189,602.805,607.6,608.86,594.78,284749,654.379,654.607
2025-03-17,15473909.0,603.8524,607.46,604.9,613.1,598.0,313855,647.7905,654.9948
2025-03-18,20297708.0,582.3347,600.05,582.36,600.25,574.66,426608,641.0899999999999,654.6572
2025-03-19,20537498.0,583.139,584.28,584.06,592.3223,574.77,354108,635.1045,654.2458
2025-03-20,24336505.0,595.6458,582.755,586.0,610.2,579.51,420212,629.6625,653.3618
2025-03-21,25015864.0,592.5178,583.425,596.25,597.545,580.95,313359,625.2974999999999,652.929
2025-03-24,15741274.0,616.8968,614.97,618.85,622.54,612.2001,335865,622.8335,653.0916
2025-03-25,15312540.0,626.8476,626.76,626.31,633.88,621.18,302695,621.274,653.3006
2025-03-26,12661891.0,614.6233,624.89,610.98,626.7499,606.61,279796,618.1379999999999,653.3536
2025-03-27,10436524.0,606.4377,602.0,602.58,614.25,600.1,225982,615.3549999999999,653.5202
2025-03-28,17602823.0,582.6746,600.31,576.74,601.75,573.92,432473,610.782,652.7126
2025-03-31,21124677.0,568.5816,563.5,576.36,578.7,553.3,454176,606.8475,652.0138
2025-04-01,12836574.0,582.5082,570.84,586.0,589.91,570.0,304759,604.1474999999999,651.4784
