date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,18898042.0,432.2288,435.0,430.81,436.03,430.41,372054,,
2024-09-19,21706559.0,438.9613,441.225,438.69,441.5,436.9,381618,,
2024-09-20,55167106.0,435.7181,437.22,435.27,439.24,434.22,336295,,
2024-09-23,15128891.0,433.7558,434.28,433.51,436.46,430.3889,295250,,
2024-09-24,17015754.0,429.1302,433.0,429.17,433.35,426.1,339671,,
2024-09-25,13396364.0,431.4952,429.83,432.11,433.119,428.57,285258,,
2024-09-26,14492044.0,431.1754,435.085,431.31,435.3,429.13,265509,,
2024-09-27,14896131.0,429.0284,431.52,428.02,431.85,427.47,285452,,
2024-09-30,16854606.0,428.7332,428.21,430.3,430.42,425.37,331755,,
2024-10-01,19092945.0,421.6867,428.45,420.69,428.48,418.81,426465,,
2024-10-02,16582257.0,418.058,422.58,417.13,422.82,416.71,365271,,
2024-10-03,13686421.0,416.6199,417.63,416.54,419.55,414.29,315114,,
2024-10-04,19190913.0,416.778,418.24,416.06,419.75,414.97,356081,,
2024-10-07,20919761.0,412.0843,416.0,409.54,417.11,409.0,442060,,
2024-10-08,19229261.0,413.4927,410.9,414.71,415.66,408.17,314547,,
2024-10-09,14974257.0,417.5639,415.86,417.46,420.38,414.3,334168,,
2024-10-10,13848376.0,415.5643,415.225,415.84,417.35,413.15,304247,,
2024-10-11,14144944.0,415.5294,416.135,416.32,417.13,413.25,318356,,
2024-10-14,16653086.0,420.1286,417.77,419.14,424.04,417.52,358012,,
2024-10-15,18900201.0,418.323,422.18,418.74,422.48,415.26,375124,423.56800000000004,
2024-10-16,15508932.0,414.8877,415.17,416.12,416.36,410.48,361156,422.8335,
2024-10-17,14820004.0,417.3986,422.36,416.72,422.5,415.59,295684,421.735,
2024-10-18,17145317.0,417.7168,417.14,418.16,419.65,416.2601,275277,420.8795,
2024-10-21,14206115.0,417.1892,416.12,418.78,418.96,413.7501,321051,420.14300000000003,
2024-10-22,25482197.0,426.7548,418.49,427.51,430.5793,418.04,447344,420.06000000000006,
2024-10-23,19654379.0,426.5163,430.855,424.6,431.08,422.53,396249,419.68449999999996,
2024-10-24,13581631.0,424.6022,425.325,424.73,425.9782,422.4,276493,419.3555,
2024-10-25,16899064.0,429.3305,426.76,428.15,432.52,426.565,342363,419.36199999999997,
2024-10-28,14882444.0,428.0089,431.655,426.59,431.94,426.3,354173,419.17650000000003,
2024-10-29,17644080.0,430.9784,428.0,431.95,433.17,425.8001,340970,419.73949999999996,
2024-10-30,29749149.0,434.1578,437.435,432.53,438.5,432.1,641185,420.5095,
2024-10-31,53970981.0,408.9503,415.36,406.35,416.16,406.3,1064128,420.0,
2024-11-01,24230442.0,411.4953,409.01,410.37,415.5,407.5,493621,419.71549999999996,
2024-11-04,19672286.0,408.2891,409.8,408.46,410.415,405.5713,416117,419.6615,
2024-11-05,17626011.0,412.1072,408.37,411.46,414.9,408.08,267936,419.49899999999997,
2024-11-06,26681842.0,417.8694,412.42,420.18,420.45,410.52,533383,419.63500000000005,
2024-11-07,19901782.0,424.4622,421.28,425.43,426.85,419.88,404175,420.1145,
2024-11-08,16891414.0,423.3528,425.32,422.54,426.5,421.78,354091,420.4255,
2024-11-11,24503321.0,418.9921,422.515,418.01,424.81,416.0,365322,420.36899999999997,
2024-11-12,19401204.0,421.7267,418.25,423.03,424.44,417.2,340411,420.5835,
2024-11-13,21502185.0,424.5944,421.64,425.2,429.325,418.21,341868,421.0375,
2024-11-14,30246881.0,426.1542,425.0,426.89,428.17,420.0,380238,421.546,
2024-11-15,28247644.0,416.3251,419.82,415.0,422.8,413.64,381330,421.38800000000003,
2024-11-18,24742013.0,415.8283,414.87,415.76,418.4037,412.1,281885,421.23699999999997,
2024-11-19,18133529.0,415.6886,413.11,417.79,417.94,411.55,276550,420.75100000000003,
2024-11-20,19191655.0,414.6219,416.87,415.49,417.29,410.58,285466,420.2955,
2024-11-21,20780162.0,413.6233,419.5,412.87,419.78,410.2887,335479,419.70250000000004,
2024-11-22,24814626.0,415.0652,411.365,417.0,417.4,411.06,284577,419.145,
2024-11-25,27691090.0,417.9725,418.38,418.79,421.08,414.85,313167,418.755,
2024-11-26,23458889.0,425.8962,419.585,427.99,429.0414,418.85,347123,418.55699999999996,421.5162
2024-11-27,18332444.0,423.9028,425.105,422.99,427.2299,422.02,261034,418.08000000000004,421.35979999999995
2024-11-29,16271921.0,422.4302,420.09,423.46,424.8849,417.8,210576,418.93549999999993,421.05519999999996
2024-12-02,20207223.0,430.1369,421.57,430.98,433.0,421.31,334918,419.966,420.9694
2024-12-03,18301987.0,430.7276,429.84,431.2,432.47,427.74,268208,421.10299999999995,420.9232
2024-12-04,26009429.0,437.2166,433.03,437.42,439.67,432.63,350819,422.401,421.0882
2024-12-05,21697775.0,441.7255,437.92,442.62,444.66,436.171,328792,423.523,421.29839999999996
2024-12-06,18821002.0,443.6452,442.3,443.57,446.1,441.7703,277267,424.43,421.5436
2024-12-09,19144388.0,445.5064,442.6,446.02,448.33,440.5,318830,425.604,421.9036
2024-12-10,18469459.0,444.7309,444.39,443.33,449.62,441.6,309314,426.87,422.16420000000005
2024-12-11,19200208.0,448.5603,444.05,448.99,450.35,444.05,272368,428.168,422.73019999999997
2024-12-12,20834779.0,451.6344,449.11,449.56,456.1648,449.11,319761,429.3860000000001,423.37880000000007
2024-12-13,20177833.0,447.5519,448.435,447.27,451.43,445.58,272450,430.40500000000003,423.99340000000007
2024-12-16,23598834.0,449.8127,447.27,451.59,452.18,445.28,317809,432.2345,424.704
2024-12-17,22733494.0,453.7481,451.01,454.46,455.29,449.57,320719,434.16949999999997,425.6024
2024-12-18,24444545.0,443.8735,451.32,437.39,452.65,437.02,390068,435.1495000000001,426.056
2024-12-19,22963681.0,438.8406,441.62,437.03,443.1834,436.32,327735,436.22649999999993,426.44739999999996
2024-12-20,64263694.0,436.2563,433.11,436.6,443.74,428.63,366000,437.413,426.86260000000004
2024-12-23,19152519.0,435.0529,436.74,435.25,437.65,432.83,267110,438.32550000000003,427.24120000000005
2024-12-24,7164543.0,437.9834,434.65,439.33,439.6,434.19,132584,439.35249999999996,427.645
2024-12-26,8199927.0,438.6297,439.08,438.11,440.94,436.63,181124,439.8585,428.0324
