date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,310318937.0,115.0218,115.89,113.37,117.7,113.22,1857175,,
2024-09-19,293506438.0,118.5264,117.35,117.87,119.66,117.25,1829283,,
2024-09-20,382462428.0,116.4068,117.06,116.0,118.6181,115.3901,1540990,,
2024-09-23,206228490.0,115.999,116.55,116.26,116.99,114.86,1275979,,
2024-09-24,354966772.0,119.6131,116.515,120.87,121.8,115.38,1971981,,
2024-09-25,284692948.0,123.5712,122.02,123.51,124.94,121.61,1733184,,
2024-09-26,302582868.0,124.5573,126.8,124.04,127.665,121.8,1833058,,
2024-09-27,271009175.0,121.1492,123.97,121.4,124.03,119.26,1770388,,
2024-09-30,227053651.0,120.3433,118.31,121.44,121.5,118.15,1416476,,
2024-10-01,302094485.0,117.8678,121.765,117.0,122.4351,115.79,2009326,,
2024-10-02,221845887.0,118.227,116.44,118.85,119.38,115.14,1327167,,
2024-10-03,277117973.0,122.6236,120.92,122.85,124.36,120.3401,1713953,,
2024-10-04,244465552.0,123.9913,124.94,124.92,125.04,121.83,1511342,,
2024-10-07,346250233.0,128.1375,124.99,127.72,130.64,124.95,2250022,,
2024-10-08,285722485.0,131.9217,130.26,132.89,133.48,129.42,1852695,,
2024-10-09,246191612.0,132.761,134.11,132.65,134.52,131.38,1577938,,
2024-10-10,242311337.0,133.9104,131.91,134.81,135.0,131.0,1536673,,
2024-10-11,170209474.0,134.8548,134.01,134.8,135.78,133.66,1203774,,
2024-10-14,232347668.0,138.3571,136.47,138.07,139.6,136.3,1590610,,
2024-10-15,377831021.0,132.4297,137.87,131.6,138.57,128.74,2604627,124.546,
2024-10-16,264879720.0,134.4792,133.98,135.72,136.62,131.58,1616789,125.6635,
2024-10-17,306435921.0,138.9549,139.34,136.93,140.89,136.87,1992541,126.6165,
2024-10-18,176090184.0,138.1008,138.665,138.0,138.9,137.28,1081509,127.7165,
2024-10-21,264554514.0,141.4973,138.13,143.71,143.71,138.0,1782070,129.089,
2024-10-22,226311589.0,143.3149,142.91,143.59,144.42,141.78,1502933,130.225,
2024-10-23,285930038.0,139.7034,142.03,139.56,142.43,137.46,1916981,131.02749999999997,
2024-10-24,172354888.0,140.003,140.82,140.41,141.35,138.46,1226518,131.846,
2024-10-25,205122109.0,142.5493,140.93,141.54,144.13,140.8,1410935,132.853,
2024-10-28,173586745.0,141.1529,143.0,140.52,143.14,140.05,1258121,133.807,
2024-10-29,157593634.0,140.9995,140.285,141.25,142.2598,138.9,1163074,135.0195,
2024-10-30,179418082.0,139.3031,139.54,139.335,140.33,136.81,1306261,136.04375,
2024-10-31,270039641.0,133.7021,137.6,132.76,137.61,132.1106,1998937,136.53924999999998,
2024-11-01,207127838.0,136.0156,134.7,135.4,137.31,134.57,1423974,137.06324999999998,
2024-11-04,187528173.0,137.3872,137.21,136.05,138.96,135.57,1369192,137.47975000000002,
