date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,12274414.0,164.9286,167.62,164.53,167.62,163.73,141385,,
2024-09-19,10075884.0,166.8764,167.25,167.59,168.16,164.51,128115,,
2024-09-20,12187736.0,167.9132,167.13,168.0,168.83,166.6,103761,,
2024-09-23,7916081.0,165.6818,167.225,165.95,167.33,164.26,100444,,
2024-09-24,6155076.0,165.3768,165.74,165.8,166.1,163.92,82881,,
2024-09-25,7142437.0,166.8182,167.69,166.28,168.75,165.66,99808,,
2024-09-26,7096842.0,167.7394,167.65,168.1,168.36,166.48,88890,,
2024-09-27,8974377.0,168.1423,168.09,168.74,169.1098,166.51,100454,,
2024-09-30,10218973.0,169.095,169.5,170.4,170.52,166.45,105425,,
2024-10-01,7595053.0,167.3465,170.22,167.16,170.51,165.97,101439,,
2024-10-02,7073025.0,168.0366,167.6,167.71,169.18,167.27,76786,,
2024-10-03,4735708.0,166.9499,166.89,166.86,167.86,166.24,72032,,
2024-10-04,6389504.0,169.8822,168.71,170.86,170.9,168.165,97651,,
2024-10-07,6790956.0,170.7183,170.42,169.97,172.33,169.55,91759,,
2024-10-08,7845377.0,173.3588,170.6,174.37,174.64,170.442,110540,,
2024-10-09,8120894.0,177.0295,174.56,178.29,178.61,173.81,119622,,
2024-10-10,7115887.0,175.5285,177.65,175.41,178.3,174.1801,105585,,
2024-10-11,5869413.0,175.714,175.495,175.77,177.0,174.4,85490,,
2024-10-14,4688662.0,176.2477,176.55,176.12,177.22,175.5,63070,,
2024-10-15,5848630.0,174.7794,176.94,174.09,178.2199,173.75,94948,170.1,
2024-10-16,6383034.0,173.7822,173.5,174.77,174.912,171.64,85258,170.612,
2024-10-17,5473951.0,176.4678,177.5,175.68,177.75,175.14,85806,171.0165,
2024-10-18,5001257.0,175.3235,176.8,174.69,176.97,174.58,75629,171.351,
2024-10-21,4198362.0,173.8781,174.45,173.76,175.15,173.16,65177,171.7415,
2024-10-22,5510114.0,175.146,175.45,175.31,175.85,174.28,65652,172.217,
2024-10-23,4830414.0,174.0766,174.5,173.1,176.07,173.01,72477,172.558,
2024-10-24,3488036.0,174.2881,173.315,174.38,174.9542,172.91,60705,172.872,
2024-10-25,3674717.0,174.3649,174.78,173.52,176.29,173.1,69523,173.111,
2024-10-28,4329971.0,172.6769,174.045,172.42,174.17,172.135,61453,173.21200000000002,
2024-10-29,4122913.0,173.3592,172.29,173.43,174.0231,172.29,60033,173.5255,
2024-10-30,5822451.0,174.9301,173.98,174.56,176.16,172.79,89918,173.868,
2024-10-31,9477476.0,168.4494,170.52,167.84,170.88,167.3975,136297,173.917,
2024-11-01,5680595.0,170.6348,170.15,170.02,172.27,169.1,93324,173.875,
2024-11-04,4804405.0,169.5966,170.31,169.59,170.48,168.73,71804,173.856,
2024-11-05,5456754.0,171.2938,170.47,171.78,171.89,170.32,63764,173.7265,
2024-11-06,11084987.0,180.3221,178.52,181.24,182.1,177.4153,147545,173.874,
2024-11-07,7759399.0,184.2565,181.08,186.37,186.67,180.54,119676,174.422,
2024-11-08,8520419.0,189.0614,186.26,189.25,190.16,186.26,121061,175.096,
2024-11-11,5973638.0,189.2802,191.05,189.13,191.5,187.84,99444,175.74650000000003,
2024-11-12,6629891.0,189.1712,188.54,189.58,190.61,187.2,91526,176.52100000000002,
2024-11-13,5695426.0,190.1034,189.0,189.63,191.77,188.7895,83878,177.264,
2024-11-14,7804318.0,187.5393,188.66,187.05,189.59,186.71,92477,177.83249999999998,
2024-11-15,8986276.0,183.8846,184.52,183.74,185.8,182.33,125066,178.28500000000003,
2024-11-18,6291406.0,185.276,184.3,185.73,186.18,182.88,73636,178.8835,
2024-11-19,8116958.0,188.0284,184.89,188.9,189.32,184.32,93766,179.56300000000002,
2024-11-20,4860222.0,189.6616,190.9,190.75,190.97,187.82,76164,180.4455,
2024-11-21,11394263.0,193.4886,191.94,192.43,196.04,191.6401,134231,181.348,
2024-11-22,6879447.0,192.5538,193.0,192.29,194.2,191.06,95945,182.2865,
2024-11-25,15138474.0,188.9107,194.5,187.99,194.75,187.99,120547,183.065,
2024-11-26,6427210.0,190.5965,188.32,190.37,192.4,188.32,100191,183.912,176.426
2024-11-27,8368797.0,184.0959,188.955,182.7,188.955,182.22,127041,184.31900000000002,176.7894
2024-11-29,4628044.0,184.9687,184.01,184.84,185.93,184.0,62886,185.169,177.1344
2024-12-02,8859696.0,181.9196,185.29,181.41,185.29,181.0,122352,185.7385,177.40259999999998
2024-12-03,8917062.0,182.0164,181.18,182.89,183.04,179.11,99881,186.40349999999998,177.7414
2024-12-04,8906283.0,188.3656,188.0,188.19,189.79,185.9,118036,187.224,178.18919999999997
2024-12-05,6398073.0,186.9346,189.02,186.24,189.02,185.85,103293,187.474,178.5884
2024-12-06,10503383.0,191.1739,187.0,191.69,192.63,186.38,153321,187.74,179.0602
2024-12-09,20157957.0,187.9613,196.3,190.45,198.3099,188.93,298944,187.8,179.4944
2024-12-10,26502016.0,175.6253,173.46,177.74,177.8,171.0592,366847,187.2305,179.64120000000003
2024-12-11,13188714.0,178.7321,178.0,178.58,181.38,174.8301,169230,186.6805,179.86960000000002
2024-12-12,8154218.0,175.8159,178.0,175.32,178.1699,174.81,127933,185.96499999999997,180.0218
2024-12-13,8351106.0,173.0224,175.0,173.39,176.14,171.64,130196,185.282,180.15239999999997
2024-12-16,9571955.0,171.8451,173.84,171.23,174.27,170.93,136843,184.6565,180.1598
2024-12-17,8940204.0,170.5263,170.75,169.71,172.99,169.27,129978,183.8555,180.1546
2024-12-18,8817934.0,167.8866,169.41,165.41,171.23,165.36,123063,182.68099999999998,179.9754
2024-12-19,8386394.0,169.2738,167.55,168.79,171.0,167.4,126214,181.583,179.78539999999998
2024-12-20,13810525.0,169.3025,167.73,169.66,171.26,165.63,99967,180.4445,179.6704
2024-12-23,6518229.0,168.7153,169.59,169.14,169.62,167.1683,79905,179.28699999999998,179.53779999999998
2024-12-24,2451547.0,170.9746,169.7,171.41,171.77,169.03,43685,178.458,179.4436
2024-12-26,4103882.0,171.729,170.5,171.68,172.55,170.5,56829,177.52349999999998,179.3954
2024-12-27,4344287.0,168.5262,170.38,168.96,171.15,167.2,81340,176.8365,179.27919999999997
