date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,75468.0,14.1494,13.55,14.18,14.8368,13.2373,3160,,
2024-09-19,58716.0,14.8882,14.6,14.8,15.6,14.0832,3449,,
2024-09-20,84093.0,13.2587,14.62,12.22,15.54,11.645,2952,,
2024-09-23,46184.0,12.0392,12.41,11.99,12.41,11.8701,1420,,
2024-09-24,14438.0,11.9533,12.13,11.86,12.36,11.71,637,,
2024-09-25,84764.0,10.3853,11.73,9.8,11.73,9.53,6319,,
2024-09-26,44025.0,9.6143,10.0,9.64,10.2,9.2301,1015,,
2024-09-27,44935.0,9.6221,9.75,9.34,9.9899,9.29,748,,
2024-09-30,93250.0,9.2014,9.5,9.26,9.5,8.87,1136,,
2024-10-01,7278.0,9.0767,9.09,9.07,9.35,8.895,478,,
2024-10-02,73092.0,9.0364,9.31,8.93,9.33,8.8,1137,,
2024-10-03,63634.0,8.0326,8.82,7.87,8.925,7.6572,910,,
2024-10-04,13805.0,7.814,8.02,7.6896,8.02,7.57,333,,
2024-10-07,269806.0,9.5621,8.0,10.17,10.77,7.55,3531,,
2024-10-08,53778.0,9.1211,10.08,9.23,10.43,8.61,1602,,
2024-10-09,87525.0,10.387,9.15,10.87,10.94,9.15,1563,,
2024-10-10,47913.0,10.1,10.69,10.17,10.73,9.6952,999,,
2024-10-11,457333.0,15.2459,10.44,17.18,18.185,10.44,7168,,
2024-10-14,177576.0,16.2823,16.92,13.36,18.6384,13.165,3157,,
2024-10-15,139803.0,12.0955,13.56,10.7,13.56,10.44,2760,10.91648,
2024-10-16,359374.0,12.8653,13.76,12.0,13.855,11.82,4459,10.80748,
2024-10-17,78694.0,11.8876,12.18,11.8,12.2799,11.39,2043,10.657480000000001,
2024-10-18,127303.0,12.037,11.42,12.0,12.835,11.42,2979,10.64648,
2024-10-21,78674.0,11.7646,11.79,12.07,12.27,11.31,1980,10.65048,
2024-10-22,103852.0,12.0837,12.15,12.0,12.49,11.8,3226,10.65748,
2024-10-23,114045.0,11.4826,12.0,11.13,12.4141,10.865,2712,10.723980000000001,
2024-10-24,152373.0,10.3534,10.78,10.25,11.19,9.53,2319,10.75448,
2024-10-25,89248.0,9.9857,10.1,9.57,10.8,9.37,1844,10.765979999999999,
2024-10-28,114883.0,9.6644,9.39,9.58,10.23,9.15,1498,10.78198,
2024-10-29,171658.0,9.0207,9.97,8.39,9.97,8.3,3079,10.74798,
2024-10-30,1106299.0,5.7338,8.03,5.24,8.03,4.8032,8510,10.56348,
2024-10-31,1265043.0,4.2817,5.39,4.64,5.5,3.5,6024,10.40198,
2024-11-01,295976.0,4.5111,4.71,4.5,4.89,4.22,1892,10.242500000000001,
2024-11-04,199650.0,4.759,4.56,4.64,4.98,4.36,1530,9.966,
2024-11-05,103578.0,4.6941,4.52,4.86,5.1,4.32,863,9.7475,
2024-11-06,111279.0,4.5735,4.75,4.49,4.86,4.301,800,9.4285,
2024-11-07,91286.0,4.5343,4.43,4.54,4.7441,4.23,776,9.147,
2024-11-08,40176.0,4.4251,4.47,4.36,4.6146,4.33,457,8.506,
2024-11-11,91341.0,4.5242,4.41,4.51,4.71,4.36,680,8.0635,
2024-11-12,118293.0,4.7198,4.5,4.73,5.0,4.47,810,7.765000000000001,
2024-11-13,276046.0,5.1515,5.0,5.44,5.5,4.73,1781,7.437,
2024-11-14,114265.0,5.3429,5.41,5.17,5.66,5.15,728,7.105499999999999,
2024-11-15,144106.0,4.6442,5.29,4.39,5.35,4.36,1131,6.725,
2024-11-18,129022.0,4.2589,4.5,4.13,4.5,4.1,787,6.328,
2024-11-19,74334.0,4.1872,4.11,4.29,4.37,4.0,478,5.9425,
2024-11-20,122478.0,4.171,4.23,4.31,4.48,4.05,676,5.6015,
2024-11-21,161951.0,3.9316,3.9,3.88,4.34,3.685,1105,5.2829999999999995,
2024-11-22,83019.0,3.9568,3.86,3.97,4.1988,3.73,697,5.003,
2024-11-25,81625.0,3.9307,4.12,3.81,4.22,3.71,627,4.714499999999999,
2024-11-26,69262.0,3.6419,3.84,3.61,3.84,3.4807,551,4.475499999999999,8.332592
2024-11-27,102701.0,3.444,3.68,3.44,3.68,3.32,721,4.3855,8.117792
2024-11-29,88711.0,3.3584,3.45,3.5,3.5,3.18,623,4.3285,7.891791999999999
2024-12-02,315646.0,2.841,3.5,2.55,3.5,2.45,1888,4.231,7.698392
2024-12-03,517582.0,2.1155,2.49,2.36,2.51,1.79,2860,4.117,7.5057920000000005
2024-12-04,921487.0,2.8861,2.42,2.37,3.39,2.32,4108,3.9924999999999997,7.315992
2024-12-05,280577.0,2.1153,2.3,2.02,2.42,1.9,1731,3.8690000000000007,7.160391999999999
2024-12-06,184186.0,2.1952,2.01,2.16,2.38,2.01,863,3.75,7.010792
2024-12-09,348229.0,2.5072,2.19,2.65,2.84,2.01,1692,3.6645000000000003,6.876992
