date,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-09-18,78010204.0,230.0429,230.09,227.2,235.68,226.88,965527,,
2024-09-19,102694576.0,240.64,234.0,243.92,244.24,232.13,1283390,,
2024-09-20,99879070.0,239.1495,241.52,238.25,243.99,235.92,1024302,,
2024-09-23,86927194.0,247.9753,242.61,250.0,250.0,241.92,1135399,,
2024-09-24,88490999.0,253.3512,254.08,254.27,257.19,249.0501,1115225,,
2024-09-25,65034318.0,255.3514,252.54,257.02,257.05,252.28,878573,,
2024-09-26,67142193.0,255.9708,260.6,254.22,261.75,251.53,848598,,
2024-09-27,70988067.0,258.2508,257.375,260.46,260.6999,254.12,933692,,
2024-09-30,80873381.0,260.113,259.04,261.63,264.86,255.77,1081088,,
2024-10-01,87397613.0,255.2818,262.67,258.02,263.98,248.53,1158965,,
2024-10-02,93983930.0,247.5178,247.55,249.02,251.1585,241.5,1255142,,
2024-10-03,80729240.0,242.9588,244.48,240.66,249.79,237.81,1046594,,
2024-10-04,86726285.0,248.1273,246.69,250.08,250.96,244.58,1105878,,
2024-10-07,68113270.0,244.2928,249.0,240.83,249.83,240.7,1020620,,
2024-10-08,56303160.0,244.1444,243.56,244.5,246.21,240.56,789918,,
2024-10-09,66289529.0,243.4745,243.82,241.05,247.43,239.51,907028,,
2024-10-10,83087063.0,239.0109,241.81,238.77,242.7899,232.34,1091415,,
2024-10-11,142628874.0,219.676,220.13,217.8,223.34,214.38,2106777,,
2024-10-14,86291923.0,218.5058,220.13,219.16,221.91,213.74,1345398,,
2024-10-15,62988787.0,220.5047,220.01,219.57,224.26,217.12,918555,243.32150000000001,
2024-10-16,49632824.0,220.8726,221.4,221.33,222.8199,218.93,733493,243.02800000000002,
2024-10-17,50791784.0,220.1581,221.59,220.89,222.08,217.9,751927,241.8765,
2024-10-18,49611867.0,221.0,220.71,220.7,222.28,219.23,689769,240.99900000000002,
2024-10-21,47328988.0,218.3276,218.9,218.85,220.48,215.726,817710,239.4415,
2024-10-22,43268741.0,216.9078,217.31,217.97,218.22,215.26,727711,237.6265,
2024-10-23,80938892.0,220.8349,217.125,213.65,218.72,212.11,1217483,235.458,
2024-10-24,204491903.0,253.1151,244.68,260.48,262.1199,242.65,2592173,235.77100000000002,
2024-10-25,161611931.0,265.7757,256.01,269.19,269.49,255.32,1911797,236.20749999999998,
2024-10-28,107653603.0,268.1257,270.0,262.51,273.536,262.24,1410052,236.2515,
2024-10-29,80521751.0,259.5621,264.51,259.52,264.98,255.51,1099634,236.32649999999998,
2024-10-30,53993576.0,260.328,258.035,257.55,263.35,255.8201,827316,236.753,
2024-10-31,66575292.0,252.6946,257.99,249.85,259.75,249.25,900186,237.2125,
2024-11-01,57544757.0,249.997,252.043,248.98,254.0,246.63,850441,237.15749999999997,
2024-11-04,68802354.0,244.1859,244.56,242.84,248.9,238.88,977682,237.25799999999998,
2024-11-05,69282505.0,252.3652,247.34,251.44,255.2799,246.2101,979572,237.60500000000002,
2024-11-06,165228710.0,285.0845,284.67,288.53,289.59,275.62,2645076,239.97899999999998,
2024-11-07,117309232.0,295.4269,288.89,296.91,299.75,285.52,1752205,242.88600000000002,
2024-11-08,204782763.0,316.421,299.14,321.22,328.71,297.66,2910016,248.05700000000002,
2024-11-11,210521625.0,346.3343,346.3,350.0,358.64,336.0,3203855,254.59900000000002,
2024-11-12,155726016.0,335.0725,342.74,328.49,345.84,323.31,2435545,260.04499999999996,
2024-11-13,125405599.0,331.7246,335.85,330.24,344.5999,322.5,1770604,265.4905,
2024-11-14,120726109.0,317.5707,327.69,311.18,329.98,310.37,1702771,270.005,
2024-11-15,114440286.0,317.958,310.57,320.72,324.6799,309.22,1499022,275.006,
2024-11-18,126547455.0,340.5484,340.73,338.74,348.5499,330.01,1764438,281.0005,
2024-11-19,88852452.0,342.5891,335.76,346.0,347.3799,332.75,1227344,287.402,
2024-11-20,66340650.0,339.8731,345.0,342.03,346.5999,334.3,964275,293.821,
2024-11-21,58011719.0,341.8335,343.81,339.64,347.9899,335.28,894804,297.779,
2024-11-22,89140722.0,350.0932,341.085,352.56,361.53,337.7,1211368,301.9475,
2024-11-25,95890899.0,348.8694,360.14,338.59,361.93,338.2,1352217,305.75149999999996,
2024-11-26,62295857.0,341.2733,341.0,338.23,346.96,335.66,900077,309.687,268.5052
2024-11-27,57896439.0,333.1307,341.8,332.89,342.55,326.59,878200,313.454,270.61899999999997
2024-11-29,37167621.0,340.3904,336.08,345.16,345.45,334.6501,519477,318.21950000000004,272.6438
2024-12-02,77986478.0,355.6961,352.38,357.09,360.0,351.1501,1117599,323.625,275.0206
2024-12-03,58267196.0,351.0855,351.8,351.42,355.69,348.2,834919,329.054,277.049
2024-12-04,50810874.0,353.3553,353.0,357.93,358.1,348.6,706523,334.3785,279.1222
2024-12-05,81403569.0,369.9048,359.87,369.49,375.43,359.5,1212221,338.4265,281.3716
2024-12-06,81455834.0,378.9321,377.42,389.22,389.49,370.8,1145513,343.04200000000003,284.07160000000005
2024-12-09,96359173.0,389.3853,397.61,389.79,404.8,378.01,1488655,346.4705,286.6582
2024-12-10,97563578.0,403.1231,392.68,400.99,409.73,390.85,1458459,349.02,289.4454
2024-12-11,104287559.0,414.9586,409.7,424.77,424.88,402.38,1533094,353.834,292.7804
2024-12-12,87752225.0,421.7664,424.84,418.1,429.3,415.0,1397331,358.227,296.16200000000003
2024-12-13,89000158.0,428.4493,420.0,436.23,436.3,415.71,1319682,364.47950000000003,300.0734
2024-12-16,114083811.0,453.3926,441.09,463.02,463.19,436.15,1906382,371.5945,304.3322
2024-12-17,131222978.0,473.8162,475.9,479.86,483.99,457.5101,2228464,378.6505,309.1128
2024-12-18,149340788.0,460.9427,466.495,440.13,488.5399,427.01,2544060,383.357,313.0254
2024-12-19,118566146.0,438.5229,451.88,436.17,456.36,420.02,1977577,388.064,316.92780000000005
2024-12-20,132216176.0,430.6225,425.505,421.06,447.08,417.64,1816629,392.135,320.5736
2024-12-23,72698055.0,428.875,431.0,430.6,434.51,415.4112,1187250,396.03700000000003,324.82959999999997
2024-12-24,59551750.0,451.6202,435.9,462.28,462.78,435.14,936767,402.2215,329.69199999999995
2024-12-26,76651210.0,457.0321,465.16,454.13,465.3299,451.02,1251616,408.0165,334.3832
2024-12-27,82666821.0,434.9592,449.52,431.66,450.0,426.5,1352471,412.95500000000004,338.5898
2024-12-30,64941012.0,420.6709,419.4,417.41,427.0,415.75,1178088,416.5675,342.5202
2024-12-31,76825121.0,412.925,423.79,403.84,427.93,402.54,1214553,418.90500000000003,346.18300000000005
2025-01-02,109710749.0,382.1548,390.1,379.28,392.7299,373.04,2134259,420.29800000000006,349.3916
2025-01-03,95423329.0,397.1371,381.48,410.44,411.8799,379.45,1446053,422.9235,353.24100000000004
2025-01-06,85516534.0,412.4069,423.2,411.05,426.43,401.7,1538768,425.0015,357.189
2025-01-07,75699525.0,397.8035,405.83,394.36,414.33,390.0,1307364,425.2585,359.86660000000006
2025-01-08,73038805.0,395.2719,392.95,394.94,402.4999,387.4,1053233,425.51599999999996,362.38159999999993
2025-01-10,62287333.0,392.5447,391.4,394.74,399.28,377.29,1013456,425.20349999999996,365.0262
2025-01-13,67580494.0,392.8504,383.21,403.31,403.79,380.07,1091602,424.13050000000004,367.902
2025-01-14,84565022.0,408.3176,414.34,396.36,422.64,394.54,1329525,423.04350000000005,370.6782
2025-01-15,81375460.0,419.1476,409.9,428.22,429.8,405.661,1270362,422.64300000000003,374.2456
2025-01-16,68335151.0,415.0015,423.49,413.82,424.0,409.13,1115835,420.183,377.5424
2025-01-17,94991429.0,430.7975,421.5,426.5,439.74,419.75,1408188,417.515,381.2156
2025-01-21,87320894.0,417.5589,432.64,424.07,433.2,406.31,1525520,416.712,384.6682
2025-01-22,60963342.0,419.6731,416.81,415.11,428.0,414.59,997855,415.659,387.19980000000004
2025-01-23,50690592.0,412.95,416.06,412.38,420.73,408.95,858456,415.225,389.5092000000001
2025-01-24,56427149.0,411.7849,414.45,406.58,418.88,405.78,880013,414.024,391.2164
2025-01-27,58125510.0,397.4668,394.8,397.15,406.69,389.0,1169771,410.76750000000004,392.1594
2025-01-28,48910676.0,393.9256,396.91,398.09,400.59,386.5,832535,407.96549999999996,393.5514
2025-01-29,68033648.0,391.7549,395.21,389.1,398.5899,384.48,1233281,405.8375,394.72860000000003
2025-01-30,98092879.0,399.0416,410.78,400.28,412.5,384.41,1520074,404.981,396.51059999999995
2025-01-31,83568219.0,411.3047,401.53,404.6,419.99,401.34,1221590,405.019,398.1882
